sr_num,created_date,month,enq_type,enq_sub_type,postcode,postcode_sector
2-891973118,2017-09-12,2017-09,LASBT Private,Noise Nuisance,LS28 5,LS28 5
2-891973576,2017-09-12,2017-09,LASBT Private,Noise Nuisance,BD4 8,BD4 8
2-892558415,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 1,LS6 1
2-892558283,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 3,LS6 3
2-892558211,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 3,LS6 3
2-892558106,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 3,LS6 3
2-892558029,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 1,LS6 1
2-892005376,2017-09-13,2017-09,Tenancy Breach,Noise Nuisance,LS28 9,LS28 9
2-892547912,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 1,LS6 1
2-892547685,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 3,LS6 3
2-892547493,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS5 2,LS5 2
2-892050389,2017-09-13,2017-09,LASBT Private,Noise Nuisance,LS19 6,LS19 6
2-892548079,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS18 4,LS18 4
2-892547323,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 1,LS6 1
2-892547086,2017-09-19,2017-09,LASBT Private,Noise Nuisance,NU,
2-892053919,2017-09-13,2017-09,LASBT Private,Noise Nuisance,LS16 5,LS16 5
2-892515889,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS6 1,LS6 1
2-892074720,2017-09-13,2017-09,LASBT Private,Noise Nuisance,LS18 4,LS18 4
2-892074880,2017-09-13,2017-09,LASBT Private,Noise Nuisance,LS16 6,LS16 6
2-892464854,2017-09-19,2017-09,LASBT Private,Noise Nuisance,LS3 1,LS3 1
2-892098638,2017-09-14,2017-09,LASBT Private,Noise Nuisance,LS6 4,LS6 4
2-892446319,2017-09-18,2017-09,LASBT ALMO,Noise Nuisance,LS13 4,LS13 4
2-892440011,2017-09-18,2017-09,LASBT ALMO,Noise Nuisance,LS6 1,LS6 1
2-892415532,2017-09-18,2017-09,Tenancy Breach,Noise Nuisance,LS19 7,LS19 7
2-892424582,2017-09-18,2017-09,LASBT ALMO,Noise Nuisance,LS28 9,LS28 9
2-892408863,2017-09-18,2017-09,LASBT Private,Noise Nuisance,LS12 4,LS12 4
2-892318070,2017-09-15,2017-09,LASBT Private,Noise Nuisance,LS7 1,LS7 1
2-892400305,2017-09-18,2017-09,LASBT Private,Noise Nuisance,LS18 5,LS18 5
2-890755257,2017-09-01,2017-09,Tenancy Breach,Noise Nuisance,LS10 3,LS10 3
2-893472699,2017-09-29,2017-09,Tenancy Breach,Noise Nuisance,LS9 8,LS9 8
2-890800671,2017-09-01,2017-09,Tenancy Breach,Noise Nuisance,LS13 3,LS13 3
2-890825060,2017-09-01,2017-09,LASBT ALMO,Noise Nuisance,LS16 6,LS16 6
2-890813384,2017-09-01,2017-09,Tenancy Breach,Noise Nuisance,LS20 9,LS20 9
2-893453296,2017-09-29,2017-09,Tenancy Breach,Noise Nuisance,LS14 6,LS14 6
2-890915156,2017-09-04,2017-09,Tenancy Breach,Noise Nuisance,WF3 2,WF3 2
2-890912886,2017-09-04,2017-09,Tenancy Breach,Noise Nuisance,LS13 2,LS13 2
2-890929089,2017-09-04,2017-09,Tenancy Breach,Noise Nuisance,LS14 1,LS14 1
2-893424309,2017-09-29,2017-09,LASBT ALMO,Noise Nuisance,WF3 2,WF3 2
2-890936989,2017-09-04,2017-09,Tenancy Breach,Noise Nuisance,LS7 3,LS7 3
2-890955199,2017-09-04,2017-09,LASBT ALMO,Noise Nuisance,LS9 7,LS9 7
2-890980448,2017-09-04,2017-09,Tenancy Breach,Noise Nuisance,LS27 9,LS27 9
2-893415357,2017-09-29,2017-09,LASBT ALMO,Noise Nuisance,LS11 8,LS11 8
2-890983060,2017-09-04,2017-09,Tenancy Breach,Noise Nuisance,LS9 9,LS9 9
2-890993042,2017-09-04,2017-09,Tenancy Breach,Noise Nuisance,LS22 7,LS22 7
2-890985799,2017-09-04,2017-09,LASBT ALMO,Noise Nuisance,LS19 7,LS19 7
2-893301699,2017-09-28,2017-09,Tenancy Breach,Noise Nuisance,LS18 5,LS18 5
2-893252178,2017-09-27,2017-09,LASBT ALMO,Noise Nuisance,LS7 2,LS7 2
2-893240639,2017-09-27,2017-09,Tenancy Breach,Noise Nuisance,LS17 6,LS17 6
2-893239382,2017-09-27,2017-09,LASBT ALMO,Noise Nuisance,LS8 3,LS8 3
2-893217928,2017-09-27,2017-09,Tenancy Breach,Noise Nuisance,LS6 3,LS6 3
2-893224102,2017-09-27,2017-09,LASBT ALMO,Noise Nuisance,LS16 5,LS16 5
2-891072669,2017-09-05,2017-09,LASBT ALMO,Noise Nuisance,LS11 5,LS11 5
2-893199672,2017-09-27,2017-09,Tenancy Breach,Noise Nuisance,LS13 4,LS13 4
2-893218217,2017-09-27,2017-09,Tenancy Breach,Noise Nuisance,LS21 1,LS21 1
2-893172489,2017-09-27,2017-09,Tenancy Breach,Noise Nuisance,LS14 1,LS14 1
2-893196529,2017-09-27,2017-09,LASBT ALMO,Noise Nuisance,LS19 7,LS19 7
2-893199074,2017-09-27,2017-09,Tenancy Breach,Noise Nuisance,LS13 4,LS13 4
2-893128737,2017-09-26,2017-09,LASBT ALMO,Noise Nuisance,LS15 7,LS15 7
2-891146242,2017-09-05,2017-09,Tenancy Breach,Noise Nuisance,LS5 3,LS5 3
2-891158048,2017-09-05,2017-09,Tenancy Breach,Noise Nuisance,LS21 1,LS21 1
2-893141323,2017-09-26,2017-09,LASBT Private,Noise Nuisance,LS2 9,LS2 9
2-891149823,2017-09-05,2017-09,LASBT Private,Noise Nuisance,LS11 8,LS11 8
2-893137146,2017-09-26,2017-09,LASBT Private,Noise Nuisance,LS13 1,LS13 1
2-893130215,2017-09-26,2017-09,LASBT ALMO,Noise Nuisance,LS7 3,LS7 3
2-891250178,2017-09-06,2017-09,LASBT Private,Noise Nuisance,LS14 6,LS14 6
2-893114410,2017-09-26,2017-09,LASBT Private,Noise Nuisance,LS18 5,LS18 5
2-891241455,2017-09-06,2017-09,Tenancy Breach,Noise Nuisance,LS14 6,LS14 6
2-891240891,2017-09-06,2017-09,Tenancy Breach,Noise Nuisance,LS13 4,LS13 4
2-891256374,2017-09-06,2017-09,LASBT Private,Noise Nuisance,LS11 0,LS11 0
2-893093571,2017-09-26,2017-09,LASBT ALMO,Noise Nuisance,LS9 7,LS9 7
2-893093266,2017-09-26,2017-09,LASBT ALMO,Noise Nuisance,LS8 3,LS8 3
2-891285790,2017-09-06,2017-09,Tenancy Breach,Noise Nuisance,LS11 5,LS11 5
2-891293932,2017-09-06,2017-09,Tenancy Breach,Noise Nuisance,LS7 1,LS7 1
2-891314182,2017-09-06,2017-09,Tenancy Breach,Noise Nuisance,LS28 7,LS28 7
2-891322018,2017-09-06,2017-09,Tenancy Breach,Noise Nuisance,LS5 3,LS5 3
2-893085696,2017-09-26,2017-09,Tenancy Breach,Noise Nuisance,LS6 2,LS6 2
2-893021989,2017-09-26,2017-09,Tenancy Breach,Noise Nuisance,LS8 3,LS8 3
2-893044505,2017-09-25,2017-09,Tenancy Breach,Noise Nuisance,LS17 5,LS17 5
2-893031879,2017-09-25,2017-09,LASBT ALMO,Noise Nuisance,LS23 6,LS23 6
2-893018569,2017-09-25,2017-09,Tenancy Breach,Noise Nuisance,LS10 3,LS10 3
2-891365348,2017-09-06,2017-09,LASBT Private,Noise Nuisance,LS28 8,LS28 8
2-893022324,2017-09-25,2017-09,LASBT ALMO,Noise Nuisance,LS11 0,LS11 0
2-891376868,2017-09-07,2017-09,Tenancy Breach,Noise Nuisance,LS16 7,LS16 7
2-891431019,2017-09-07,2017-09,LASBT ALMO,Noise Nuisance,LS25 7,LS25 7
2-891447346,2017-09-07,2017-09,Tenancy Breach,Noise Nuisance,LS14 1,LS14 1
2-891455567,2017-09-07,2017-09,LASBT ALMO,Noise Nuisance,LS14 1,LS14 1
2-891442779,2017-09-07,2017-09,Tenancy Breach,Noise Nuisance,LS9 7,LS9 7
2-891447432,2017-09-07,2017-09,Tenancy Breach,Noise Nuisance,LS14 1,LS14 1
2-891447524,2017-09-07,2017-09,Tenancy Breach,Noise Nuisance,LS14 1,LS14 1
2-891463518,2017-09-07,2017-09,Tenancy Breach,Noise Nuisance,LS8 3,LS8 3
2-891478185,2017-09-07,2017-09,LASBT Private,Noise Nuisance,LS14 6,LS14 6
2-891473374,2017-09-07,2017-09,LASBT ALMO,Noise Nuisance,LS10 4,LS10 4
2-892974972,2017-09-25,2017-09,Tenancy Breach,Noise Nuisance,LS14 6,LS14 6
2-891478950,2017-09-07,2017-09,LASBT Private,Noise Nuisance,LS9 9,LS9 9
2-891494470,2017-09-07,2017-09,LASBT Private,Noise Nuisance,LS19 7,LS19 7
2-892985905,2017-09-25,2017-09,LASBT Private,Noise Nuisance,LS12 5,LS12 5
2-891546027,2017-09-08,2017-09,Tenancy Breach,Noise Nuisance,LS10 4,LS10 4
2-892921569,2017-09-25,2017-09,Tenancy Breach,Noise Nuisance,LS8 3,LS8 3
2-892913614,2017-09-25,2017-09,LASBT ALMO,Noise Nuisance,LS11 7,LS11 7
2-891539575,2017-09-08,2017-09,Tenancy Breach,Noise Nuisance,LS5 3,LS5 3
2-892896841,2017-09-25,2017-09,Tenancy Breach,Noise Nuisance,LS12 5,LS12 5
2-891577134,2017-09-08,2017-09,Tenancy Breach,Noise Nuisance,LS14 1,LS14 1
2-891535885,2017-09-08,2017-09,Tenancy Breach,Noise Nuisance,LS28 8,LS28 8
2-892888394,2017-09-22,2017-09,LASBT ALMO,Noise Nuisance,LS13 3,LS13 3
2-891606367,2017-09-08,2017-09,Tenancy Breach,Noise Nuisance,LS25 7,LS25 7
2-892866993,2017-09-22,2017-09,LASBT ALMO,Noise Nuisance,LS13 2,LS13 2
2-891613829,2017-09-08,2017-09,Tenancy Breach,Noise Nuisance,LS14 1,LS14 1
2-891627707,2017-09-08,2017-09,Tenancy Breach,Noise Nuisance,LS6 2,LS6 2
2-892871194,2017-09-22,2017-09,Tenancy Breach,Noise Nuisance,LS27 9,LS27 9
2-891723730,2017-09-11,2017-09,LASBT ALMO,Noise Nuisance,LS10 2,LS10 2
2-891737374,2017-09-11,2017-09,Tenancy Breach,Noise Nuisance,LS16 6,LS16 6
2-891742908,2017-09-11,2017-09,LASBT Private,Noise Nuisance,LS6 1,LS6 1
2-891774410,2017-09-11,2017-09,Tenancy Breach,Noise Nuisance,LS14 5,LS14 5
2-892800213,2017-09-21,2017-09,Tenancy Breach,Noise Nuisance,LS7 3,LS7 3
2-892727191,2017-09-21,2017-09,LASBT Private,Noise Nuisance,LS21 1,LS21 1
2-891825563,2017-09-11,2017-09,LASBT ALMO,Noise Nuisance,WF10 2,WF10 2
2-892686835,2017-09-20,2017-09,Tenancy Breach,Noise Nuisance,LS11 0,LS11 0
2-892684361,2017-09-20,2017-09,Tenancy Breach,Noise Nuisance,LS17 5,LS17 5
2-891879497,2017-09-12,2017-09,LASBT ALMO,Noise Nuisance,LS11 6,LS11 6
2-892638609,2017-09-20,2017-09,Tenancy Breach,Noise Nuisance,LS21 2,LS21 2
2-891879906,2017-09-12,2017-09,LASBT ALMO,Noise Nuisance,LS10 4,LS10 4
2-891882372,2017-09-12,2017-09,LASBT ALMO,Noise Nuisance,LS9 7,LS9 7
2-891894213,2017-09-12,2017-09,Tenancy Breach,Noise Nuisance,LS13 2,LS13 2
2-891878813,2017-09-12,2017-09,LASBT ALMO,Noise Nuisance,LS8 3,LS8 3
2-891914546,2017-09-12,2017-09,Tenancy Breach,Noise Nuisance,LS28 7,LS28 7
2-891927319,2017-09-12,2017-09,LASBT Private,Noise Nuisance,LS7 2,LS7 2
2-891939261,2017-09-12,2017-09,Tenancy Breach,Noise Nuisance,LS11 8,LS11 8
2-891950527,2017-09-12,2017-09,Tenancy Breach,Noise Nuisance,LS13 2,LS13 2
2-891957114,2017-09-12,2017-09,Tenancy Breach,Noise Nuisance,LS12 3,LS12 3
2-891961635,2017-09-12,2017-09,LASBT Private,Noise Nuisance,LS12 3,LS12 3
2-891963133,2017-09-12,2017-09,Tenancy Breach,Noise Nuisance,LS17 6,LS17 6
2-892558571,2017-09-19,2017-09,LASBT ALMO,Noise Nuisance,LS14 1,LS14 1
2-892539960,2017-09-19,2017-09,Tenancy Breach,Noise Nuisance,LS9 6,LS9 6
2-892010308,2017-09-13,2017-09,LASBT ALMO,Noise Nuisance,LS26 8,LS26 8
2-892010915,2017-09-13,2017-09,Tenancy Breach,Noise Nuisance,LS5 3,LS5 3
2-892032601,2017-09-13,2017-09,Tenancy Breach,Noise Nuisance,LS6 2,LS6 2
2-892067541,2017-09-13,2017-09,Tenancy Breach,Noise Nuisance,LS16 7,LS16 7
2-892516395,2017-09-19,2017-09,Tenancy Breach,Noise Nuisance,LS14 6,LS14 6
2-892517353,2017-09-19,2017-09,LASBT ALMO,Noise Nuisance,LS11 9,LS11 9
2-892462907,2017-09-19,2017-09,LASBT ALMO,Noise Nuisance,LS9 7,LS9 7
2-892063369,2017-09-13,2017-09,LASBT ALMO,Noise Nuisance,LS27 0,LS27 0
2-892096436,2017-09-13,2017-09,Tenancy Breach,Noise Nuisance,LS13 1,LS13 1
2-892459349,2017-09-18,2017-09,LASBT Private,Noise Nuisance,LS16 6,LS16 6
2-892446554,2017-09-18,2017-09,LASBT ALMO,Noise Nuisance,LS12 2,LS12 2
2-892428691,2017-09-18,2017-09,Tenancy Breach,Noise Nuisance,LS13 3,LS13 3
2-892437263,2017-09-18,2017-09,Tenancy Breach,Noise Nuisance,LS13 1,LS13 1
2-892168319,2017-09-14,2017-09,Tenancy Breach,Noise Nuisance,LS15 0,LS15 0
2-892426675,2017-09-18,2017-09,LASBT ALMO,Noise Nuisance,WF3 3,WF3 3
2-892424813,2017-09-18,2017-09,LASBT Private,Noise Nuisance,LS12 1,LS12 1
2-892220979,2017-09-15,2017-09,Tenancy Breach,Noise Nuisance,LS12 2,LS12 2
2-892283353,2017-09-15,2017-09,Tenancy Breach,Noise Nuisance,LS11 9,LS11 9
2-892277961,2017-09-15,2017-09,Tenancy Breach,Noise Nuisance,LS8 1,LS8 1
2-892283705,2017-09-15,2017-09,Tenancy Breach,Noise Nuisance,LS11 9,LS11 9
2-892324231,2017-09-15,2017-09,Tenancy Breach,Noise Nuisance,LS9 7,LS9 7
2-892336416,2017-09-15,2017-09,Tenancy Breach,Noise Nuisance,LS16 6,LS16 6
2-892365119,2017-09-18,2017-09,Tenancy Breach,Noise Nuisance,LS13 2,LS13 2
2-892333794,2017-09-18,2017-09,LASBT Private,Noise Nuisance,LS6 1,LS6 1
