venue_name,venue_address_1,venue_address_2,venue_address_3,venue_address_4,venue_postcode,website,venue_postcode_clean,postcode_sector,postcode_clean,onspd_postcode_sector,oseast1m,osnrth1m,lat,long,lsoa11,msoa11,osward,oslaua,imd,postcode_match,has_valid_coordinates
Rivers Meet,102 Leeds Road,Methley,Leeds,,LS26 9EP,http://www.riversmeetcraftcafe.co.uk,LS26 9EP,LS26 9,LS26 9EP,LS26 9,438607.0,427224.0,53.739976,-1.41616,E01011393,E02002432,E05001431,E08000035,19787.0,both,True
Mint Cafe,33 North Lane,Headingley,Leeds,,LS6 3HW,http://www.mint-cafe.co.uk,LS6 3HW,LS6 3,LS6 3HW,LS6 3,427683.0,436041.0,53.819913,-1.580984,E01011440,E02002373,E05001427,E08000035,17456.0,both,True
Cafe Lento,21a North Lane,Headingley,Leeds,,LS6 3HW,http://www.cafelento.co.uk,LS6 3HW,LS6 3,LS6 3HW,LS6 3,427683.0,436041.0,53.819913,-1.580984,E01011440,E02002373,E05001427,E08000035,17456.0,both,True
HEART Cafe,Bennett Road,Leeds,,,LS6 3HN,http://www.heartcentre.org.uk,LS6 3HN,LS6 3,LS6 3HN,LS6 3,427846.0,436089.0,53.820336,-1.578504,E01011440,E02002373,E05001427,E08000035,17456.0,both,True
Gallery Munro House,Munro House,York Street,Leeds,,LS9 8AG,http://leedsgallery.com,LS9 8AG,LS9 8,LS9 8AG,LS9 8,430799.0,433493.0,53.796838,-1.533909,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
The Hummingbird Kitchen & Bar,Stainbeck Corner,Harrogate Road,Chapel Allerton,Leeds,LS7 3PG,,LS7 3PG,LS7 3,LS7 3PG,LS7 3,430495.0,437039.0,53.828726,-1.538174,E01011352,E02002363,E05001419,E08000035,14332.0,both,True
The Shed Bar,6 Heatons Court,Leeds,,,LS1 4LJ,http://www.theshedbar.co.uk,LS1 4LJ,LS1 4,LS1 4LJ,LS1 4,430205.0,433252.0,53.794707,-1.54295,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Fazenda Rodizio Bar and Grill,"Unit B, Waterman's Place",3 Wharf Approach,Granary Wharf,Leeds,LS1 4GL,http://www.fazenda.co.uk,LS1 4GL,LS1 4,LS1 4GL,LS1 4,429824.0,433120.0,53.793542,-1.548746,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Around the World in 80 Beers,123 The Headrow,Leeds,,,LS1 5RD,http://www.atw80.com,LS1 5RD,LS1 5,LS1 5RD,LS1 5,429890.0,433772.0,53.799399,-1.547681,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Bierkeller,123 The Headrow,Leeds,,,LS1 5RD,http://www.thebierkeller.com,LS1 5RD,LS1 5,LS1 5RD,LS1 5,429890.0,433772.0,53.799399,-1.547681,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Shooters Sports Bar,123 The Headrow,Leeds,,,LS1 5RD,,LS1 5RD,LS1 5,LS1 5RD,LS1 5,429890.0,433772.0,53.799399,-1.547681,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Bingley Arms,37 Church Lane,Bardsey,Leeds,,LS17 9DR,http://www.bingleyarms.co.uk,LS17 9DR,LS17 9,LS17 9DR,LS17 9,436324.0,442962.0,53.881586,-1.44892,E01011713,E02002335,E05001426,E08000035,27676.0,both,True
Las Iguanas,Unit 3,Cloth Hall Street,Leeds,,LS1 2HD,http://www.iguanas.co.uk,LS1 2HD,LS1 2,LS1 2HD,LS1 2,430368.0,433359.0,53.795659,-1.540465,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Miller & Carter Steakhouse,Selby Road,Garforth,Leeds,,LS25 1NB,http://www.millerandcarter.co.uk/millerandcartergarforth/,LS25 1NB,LS25 1,LS25 1NB,LS25 1,439151.0,432501.0,53.787363,-1.407246,E01011402,E02002416,E05001423,E08000035,21414.0,both,True
Out of the Woods- Water Lane,113 Water Lane,Leeds,,,LS11 5WD,http://www.outofthewoods.me.uk,LS11 5WD,LS11 5,LS11 5WD,LS11 5,429565.0,432911.0,53.791679,-1.552698,E01033032,E02002411,E05001420,E08000035,9129.0,both,True
Mojo Bar,18 Merrion Street,Leeds,,,LS1 6PQ,http://www.mojobar.co.uk,LS1 6PQ,LS1 6,LS1 6PQ,LS1 6,430389.0,433897.0,53.800493,-1.540093,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Barburrito,62 The Headrow,Leeds,,,LS1 8EQ,http://www.barburrito.co.uk,LS1 8EQ,LS1 8,LS1 8EQ,LS1 8,430120.0,433797.0,53.799626,-1.544191,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Bar 166 Bar and Bistro,166 Town Street,Horsforth,Leeds,,LS18 4AQ,http://www.bar166.co.uk,LS18 4AQ,LS18 4,LS18 4AQ,LS18 4,424034.0,438333.0,53.840694,-1.636232,E01011460,E02002357,E05001428,E08000035,17272.0,both,True
The Royal Park,Queens Road,Hyde Park,Leeds,,LS6 1NY,http://www.theroyalparkleeds.co.uk,LS6 1NY,LS6 1,LS6 1NY,LS6 1,428404.0,434899.0,53.809611,-1.570138,E01011449,E02002383,E05001427,E08000035,9356.0,both,True
Dry Dock,Woodhouse Lane,Leeds,,,LS2 3AX,,LS2 3AX,LS2 3,LS2 3AX,LS2 3,429884.0,434343.0,53.804547,-1.547722,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
Jamie's Italian,35 Park Row,Leeds,,,LS1 5JL,http://www.jamieoliver.com/italian/leeds,LS1 5JL,LS1 5,LS1 5JL,LS1 5,429909.0,433550.0,53.797418,-1.547419,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Aagrah Garforth,Aberford Road,Garforth,,,LS25 2HF,http://www.aagrah.com,LS25 2HF,LS25 2,LS25 2HF,LS25 2,441683.0,433749.0,53.798383,-1.368649,E01011398,E02002406,E05001423,E08000035,26291.0,both,True
Dine in the Mansion,The Mansion,Mansion Lane,Roundhay,Leeds,LS8 2HH,http://www.dine.co.uk/venues/themansion,LS8 2HH,LS8 2,LS8 2HH,LS8 2,433004.0,438276.0,53.839708,-1.499929,E01011650,E02002349,E05001440,E08000035,21306.0,both,True
Blackhouse Restaurant and Bar,31-33 East Parade,Leeds,,,LS1 5PS,http://www.blackhouse.uk.com,LS1 5PS,LS1 5,LS1 5PS,LS1 5,429802.0,433639.0,53.798208,-1.54903,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The White House,55 Wetherby Road,Leeds,,,LS8 2JU,,LS8 2JU,LS8 2,LS8 2JU,LS8 2,432908.0,437078.0,53.82893,-1.501511,E01011643,E02002366,E05001440,E08000035,22830.0,both,True
Distrikt,7 Duncan Street,Leeds,,,LS1 6DQ,http://www.distrikt.co.uk,LS1 6DQ,LS1 6,LS1 6DQ,LS1 6,430292.0,433411.0,53.796131,-1.541614,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Kadas,3 - 5 Crown Street,Leeds,,,LS2 7DA,,LS2 7DA,LS2 7,LS2 7DA,LS2 7,430367.0,433345.0,53.795533,-1.540481,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
The Rock Bar,52 Call Lane,Leeds,,,LS1 6DT,,LS1 6DT,LS1 6,LS1 6DT,LS1 6,430315.0,433324.0,53.795348,-1.541273,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
The Shake Bar,28 Merrion Centre,Leeds,,,LS2 8LY,,LS2 8LY,LS2 8,LS2 8LY,LS2 8,430082.0,434032.0,53.801724,-1.544741,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Engine House Cafe,2 Foundry Square,Holbeck,Leeds,,LS11 5DL,http://www.enginehousecafe.co.uk/,LS11 5DL,LS11 5,LS11 5DL,LS11 5,429610.0,432884.0,53.791434,-1.552017,E01033032,E02002411,E05001420,E08000035,9129.0,both,True
Little Tokyo,24 Central Road,Leeds,,,LS1 6DE,,LS1 6DE,LS1 6,LS1 6DE,LS1 6,430324.0,433458.0,53.796567,-1.541127,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
A Nation Of Shopkeepers,27-37 Cookridge Street,Leeds,,,LS2 3AG,http://www.anationofshopkeepers.com,LS2 3AG,LS2 3,LS2 3AG,LS2 3,429901.0,433902.0,53.800566,-1.547502,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Fenton,161 Woodhouse Lane,Leeds,,,LS2 3ED,,LS2 3ED,LS2 3,LS2 3ED,LS2 3,429763.0,434466.0,53.805643,-1.549543,E01033005,E02002384,E05001429,E08000035,8229.0,both,True
Hyde Park Pub,2 Headingley Lane,Leeds,,,LS6 2AS,http://www.hydeparkhotelleeds.co.uk/,LS6 2AS,LS6 2,LS6 2AS,LS6 2,428922.0,435513.0,53.815101,-1.562214,E01011443,E02006861,E05001429,E08000035,12585.0,both,True
The Cardigan Arms,364 Kirkstall Road,Leeds,,,LS4 2HQ,,LS4 2HQ,LS4 2,LS4 2HQ,LS4 2,427548.0,434564.0,53.806646,-1.583167,E01011482,E02002385,E05001432,E08000035,6787.0,both,True
Victorian Tiled Hall Cafe,Leeds Art Gallery,The Headrow,Leeds,,LS1 3AA,,LS1 3AA,LS1 3,LS1 3AA,LS1 3,429859.0,433856.0,53.800155,-1.548144,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
