venue_name,venue_address_1,venue_address_2,venue_address_3,venue_address_4,venue_postcode,website,venue_postcode_clean,postcode_sector,postcode_clean,onspd_postcode_sector,oseast1m,osnrth1m,lat,long,lsoa11,msoa11,osward,oslaua,imd,postcode_match,has_valid_coordinates
Sandinista,"5/5a Cross, Belgrave Street",Leeds,,,LS2 8JP,http://www.sandinista.co.uk/,LS2 8JP,LS2 8,LS2 8JP,LS2 8,430329.0,433943.0,53.80091,-1.541,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Sukhothai - South Parade,5 South Parade,Leeds,,,LS1 5QS,www.sukhothai.co.uk,LS1 5QS,LS1 5,LS1 5QS,LS1 5,429850.0,433720.0,53.79895,-1.548298,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Thai Edge Leeds,New Portland Place,7 Calverley Street,Leeds,,LS1 3DY,www.thaiedge.co.uk,LS1 3DY,LS1 3,LS1 3DY,LS1 3,429835.0,434078.0,53.802152,-1.548487,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Brasserie at West Park,269 Otley Road,West Park,Leeds,,LS16 5LN,http://www.brasserieatwestpark.co.uk/,LS16 5LN,LS16 5,LS16 5LN,LS16 5,426839.0,437629.0,53.83423,-1.593666,E01011685,E02006852,E05001442,E08000035,29162.0,both,True
Trio Bar & Grill,44 North Lane,Headingley,Leeds,,LS6 3HU,http://www.arcinspirations.com,LS6 3HU,LS6 3,LS6 3HU,LS6 3,427667.0,436068.0,53.820157,-1.581225,E01011435,E02002373,E05001427,E08000035,14792.0,both,True
Wagamama,31 - 32 Park Row,Leeds,,,LS1 5JD,http://www.wagamama.com,LS1 5JD,LS1 5,LS1 5JD,LS1 5,429904.0,433646.0,53.798281,-1.547485,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Diva Italiana,Unit 8-10,Booths Yard,Pudsey,Leeds,LS28 7AD,http://italiandiva.co.uk/,LS28 7AD,LS28 7,LS28 7AD,LS28 7,422362.0,433494.0,53.797292,-1.661996,E01011612,E02002408,E05001438,E08000035,7382.0,both,True
Hansa's Restaurant,72/74 North Street,Leeds,,,LS2 7PN,http://www.hansasrestaurant.com,LS2 7PN,LS2 7,LS2 7PN,LS2 7,430531.0,434025.0,53.801635,-1.537925,E01033002,E02002384,E05001420,E08000035,6371.0,both,True
The Restaurant Bar & Grill,The Old Post Office,3 City Square,Leeds,,LS1 2AN,,LS1 2AN,LS1 2,LS1 2AN,LS1 2,429912.0,433499.0,53.796944,-1.547374,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Ruchee,219 Stainbeck Road,Moortown,Leeds,,LS7 2LR,http://www.ruchee-leeds.co.uk/,LS7 2LR,LS7 2,LS7 2LR,LS7 2,430028.0,437514.0,53.833023,-1.545222,E01011507,E02002354,E05001434,E08000035,27239.0,both,True
Salute at The White Swan,Church Street,Rothwell,Leeds,,LS26 0QL,www.saluteleeds.co.uk,LS26 0QL,LS26 0,LS26 0QL,LS26 0,434298.0,428250.0,53.749498,-1.481372,E01011629,E02002427,E05001439,E08000035,14743.0,both,True
Salvo's,115 & 109 Otley Road,Headingley,Leeds,,LS6 3PX,http://www.salvos.co.uk,LS6 3PX,LS6 3,LS6 3PX,LS6 3,427675.0,436531.0,53.824318,-1.581062,E01011694,E02006852,E05001442,E08000035,26001.0,both,True
Azrams Sheesh Mahal,346-348 Kirkstall Road,Leeds,,,LS4 2DS,,LS4 2DS,LS4 2,LS4 2DS,LS4 2,427658.0,434512.0,53.806172,-1.581501,E01011483,E02002385,E05001432,E08000035,2816.0,both,True
Bibis Italianissimo,Criterion Place,Off Sovereign Street,Leeds,,LS1 4AG,www.bibisrestaurant.com,LS1 4AG,LS1 4,LS1 4AG,LS1 4,430172.0,433198.0,53.794224,-1.543456,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Brasserie Blanc,Victoria Mill,Sovereign Street,Leeds,,LS1 4BJ,www.brasserieblanc.com,LS1 4BJ,LS1 4,LS1 4BJ,LS1 4,430168.0,433128.0,53.793595,-1.543524,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Brasserie Forty 4,44 The Calls,Leeds,,,LS2 7EW,www.brasserie44.com,LS2 7EW,LS2 7,LS2 7EW,LS2 7,430460.0,433270.0,53.794854,-1.539077,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Bretts Fish Restaurant,12-14 North Lane,Headingley,Leeds,,LS6 3HE,,LS6 3HE,LS6 3,LS6 3HE,LS6 3,427794.0,436191.0,53.821272,-1.579289,E01011440,E02002373,E05001427,E08000035,17456.0,both,True
Chino Latino,Park Plaza Hotel,Boar Lane,City Square,Leeds,LS1 5NS,http://www.chinolatino.co.uk,LS1 5NS,LS1 5,LS1 5NS,LS1 5,429959.0,433417.0,53.796204,-1.546668,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
It Bar Leeds,57-59 New Briggate,Leeds,,,LS2 8JD,,LS2 8JD,LS2 8,LS2 8JD,LS2 8,430292.0,433859.0,53.800157,-1.54157,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Hop Leeds,Dark Arches,Leeds,,,LS1 4BR,http://thehopleeds.co.uk/,LS1 4BR,LS1 4,LS1 4BR,LS1 4,429783.0,433129.0,53.793626,-1.549368,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Hilton Leeds City,Neville Street,Leeds,,,LS1 4BX,http://www.hilton.com,LS1 4BX,LS1 4,LS1 4BX,LS1 4,429916.0,433129.0,53.793618,-1.547349,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
North Bar,24 New Briggate,Leeds,,,LS1 6NU,http://www.northbar.com,LS1 6NU,LS1 6,LS1 6NU,LS1 6,430352.0,433839.0,53.799974,-1.540661,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Aagrah Pudsey,483 Bradford Road,Pudsey,,,LS28 8ED,www.aagrah.com,LS28 8ED,LS28 8,LS28 8ED,LS28 8,420176.0,434168.0,53.803438,-1.695138,E01011597,E02002395,E05001418,E08000035,12679.0,both,True
Arts Cafe Bar & Restaurant,42 Call Lane,Leeds,,,LS1 6DT,http://www.artscafebar.com/,LS1 6DT,LS1 6,LS1 6DT,LS1 6,430315.0,433324.0,53.795348,-1.541273,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Primo Ristorante,West Point,29 Wellington Street,Leeds,,LS1 4JY,http://www.primo-ristorante.co.uk/,LS1 4JY,LS1 4,LS1 4JY,LS1 4,429524.0,433392.0,53.796004,-1.553274,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
Primo's Gourmet Hot Dogs,The Concourse,Corn Exchange,Call Lane,Leeds,LS1 7BR,,LS1 7BR,LS1 7,LS1 7BR,LS1 7,430387.0,433387.0,53.79591,-1.540174,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
The Arc,19 Ash Road,Headingley,,,LS6 3JJ,,LS6 3JJ,LS6 3,LS6 3JJ,LS6 3,427650.0,436142.0,53.820823,-1.581477,E01011435,E02002373,E05001427,E08000035,14792.0,both,True
Hirst's Yard,11 - 15 Hirsts Yard,Leeds,West Yorkshire,,LS1 6NJ,http://www.hirstsyard.co.uk,LS1 6NJ,LS1 6,LS1 6NJ,LS1 6,430271.0,433358.0,53.795656,-1.541938,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Duke of Wellington,Main Street,Leeds,,,LS17 9DB,http://www.thedukew1.co.uk/,LS17 9DB,LS17 9,LS17 9DB,LS17 9,436128.0,444212.0,53.892834,-1.451754,E01011708,E02002335,E05001426,E08000035,22245.0,both,True
Lazy Lounge,Westpoint,Leeds,,,LS1 4JY,http://lazy-lounge.com/,LS1 4JY,LS1 4,LS1 4JY,LS1 4,429524.0,433392.0,53.796004,-1.553274,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
Miller and Carter Steakhouse,56-58 The Headrow,Leeds,,,LS1 8TL,http://www.millerandcarter.co.uk/millerandcarterleedslight/,LS1 8TL,LS1 8,LS1 8TL,LS1 8,430022.0,433845.0,53.800047,-1.54567,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Viva,9-11 Bridge End,Leeds,,,LS1 7HG,http://www.vivaitalianrestaurant.com,LS1 7HG,LS1 7,LS1 7HG,LS1 7,430277.0,433201.0,53.794244,-1.541862,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Graveley Fisheries,12-14 George Street,Leeds,,,LS2 7HY,,LS2 7HY,LS2 7,LS2 7HY,LS2 7,430487.0,433578.0,53.797621,-1.538637,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Global Tribe Cafe,18 Swan Street,Leeds,,,LS1 6LG,http://globaltribecafe.com/,LS1 6LG,LS1 6,LS1 6LG,LS1 6,430185.0,433718.0,53.798896,-1.543208,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Sukhothai - Headingley,St Annes Road,Headingley,,,LS6 3NX,http://sukhothai.co.uk/restaurants/leeds-headingley/,LS6 3NX,LS6 3,LS6 3NX,LS6 3,427615.0,436372.0,53.822892,-1.581988,E01011694,E02006852,E05001442,E08000035,26001.0,both,True
Opposite Cafe- Victoria Quarter,Victoria Quarter,Queen Victoria Street,,,LS1 6AZ,http://www.oppositecafe.co.uk/,LS1 6AZ,LS1 6,LS1 6AZ,LS1 6,430323.0,433606.0,53.797882,-1.541124,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Olive Tree Greek Restaurant,Oaklands,Rodley Lane,Rodley,,LS13 1NG,http://www.olivetreegreekrestaurant.co.uk,LS13 1NG,LS13 1,LS13 1NG,LS13 1,421786.0,436590.0,53.825127,-1.670518,E01011588,E02002368,E05001418,E08000035,22188.0,both,True
Mr Foley's Cask Ale House,159 The Headrow,Leeds,,,LS1 5RG,,LS1 5RG,LS1 5,LS1 5RG,LS1 5,429810.0,433776.0,53.799439,-1.548895,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
Hayley and Clifford Delicatessen,43 Street Lane,Leeds,,,LS8 1AP,http://www.haleyandclifford.co.uk,LS8 1AP,LS8 1,LS8 1AP,LS8 1,432376.0,438770.0,53.844187,-1.50942,E01011653,E02002349,E05001440,E08000035,24584.0,both,True
Stew and Oyster Bar,36-38 The Calls,Leeds,,,LS2 7EW,,LS2 7EW,LS2 7,LS2 7EW,LS2 7,430460.0,433270.0,53.794854,-1.539077,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Patisserie Valerie,50a Albion Street,Leeds,,,LS1 6AD,,LS1 6AD,LS1 6,LS1 6AD,LS1 6,430071.0,433649.0,53.798283,-1.544945,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Library Pub,229 Woodhouse Lane,,,,LS2 3AP,,LS2 3AP,LS2 3,LS2 3AP,LS2 3,429171.0,435147.0,53.811813,-1.558472,E01033005,E02002384,E05001429,E08000035,8229.0,both,True
Aagrah Leeds,St Peter's Square,Quarry Hill,Leeds,,LS9 8AH,http://www.aagrah.com/restaurants/leeds-city/,LS9 8AH,LS9 8,LS9 8AH,LS9 8,430843.0,433524.0,53.797114,-1.533238,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Roundhay Fox,Prince Avenue,Roundhay,,,LS8 2EP,http://www.vintageinn.co.uk/theroundhayfoxleeds/,LS8 2EP,LS8 2,LS8 2EP,LS8 2,432738.0,438260.0,53.839564,-1.503968,E01011650,E02002349,E05001440,E08000035,21306.0,both,True
Bella Italia,145 Briggate,Leeds,,,LS1 6BR,http://www.bellaitalia.co.uk/,LS1 6BR,LS1 6,LS1 6BR,LS1 6,430257.0,433449.0,53.796475,-1.542141,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
"The Fishermans Wife, Headingley",9 Weetwood Lane,Headingley,,,LS16 5LT,http://www.thefishermanswife.co.uk,LS16 5LT,LS16 5,LS16 5LT,LS16 5,427573.0,436923.0,53.827862,-1.582581,E01011690,E02006852,E05001442,E08000035,23418.0,both,True
Chaophraya,20A First Floor,Blayds Court,Swinegate,Leeds,LS1 4AG,http://www.chaophraya.co.uk,LS1 4AG,LS1 4,LS1 4AG,LS1 4,430172.0,433198.0,53.794224,-1.543456,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Sukhothai - Chapel Allerton,8 Regent Street,Chapel Allerton,,,LS7 4PE,http://www.sukhothai.co.uk/,LS7 4PE,LS7 4,LS7 4PE,LS7 4,430543.0,437180.0,53.829991,-1.537431,E01011352,E02002363,E05001419,E08000035,14332.0,both,True
Comptoir Libanais,Level 4 Trinity Albion Street,Leeds,,,LS1 5AY,http://www.comptoirlibanais.com,LS1 5AY,LS1 5,LS1 5AY,LS1 5,430036.0,433504.0,53.796998,-1.545495,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
200 Degrees Coffee,200 Degrees Coffee,31 Bond Street,Leeds,,LS1 5BQ,http://200degs.com/,LS1 5BQ,LS1 5,LS1 5BQ,LS1 5,429992.0,433584.0,53.797703,-1.546151,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Gino D’Acampo My Restaurant,Gino D’Acampo My Restaurant,11/12 Park Row,Leeds,,LS1 5HD,http://ginodacamporestaurants.com/myrestaurant/myrestaurants/leeds/,LS1 5HD,LS1 5,LS1 5HD,LS1 5,429951.0,433616.0,53.798009,-1.546775,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Olive & Rye,Queens Arcade,Leeds,,,LS1 6LF,http://www.oliverye.co.uk,LS1 6LF,LS1 6,LS1 6LF,LS1 6,430215.0,433664.0,53.798425,-1.542762,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Thewlis Cocktail Lounge,18 Park Row,Leeds,,,LS1 5JA,http://www.thewliscocktails.co.uk,LS1 5JA,LS1 5,LS1 5JA,LS1 5,429949.0,433711.0,53.798847,-1.546791,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Le Pain Quotidien,"16, Leeds Victoria Gate Arcade",Harewood Street,Leeds,,LS2 7AR,http://www.lepainquotidien.co.uk,LS2 7AR,LS2 7,LS2 7AR,LS2 7,430501.0,433644.0,53.798229,-1.538422,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Byron,9a Lands Lane,Leeds,,,LS1 6AW,,LS1 6AW,LS1 6,LS1 6AW,LS1 6,430141.0,433581.0,53.797668,-1.543889,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Stockdales of Yorkshire,8 South Parade,Leeds,,,LS1 5QX,http://stockdales-restaurant.com/,LS1 5QX,LS1 5,LS1 5QX,LS1 5,429870.0,433752.0,53.79922,-1.547987,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Mod Pizza,Unit 11a Cardigan Fields Leisure Park,Kirkstall Road,Leeds,,LS4 2DG,http://www.modpizza.co.uk,LS4 2DG,LS4 2,LS4 2DG,LS4 2,427533.0,434315.0,53.804409,-1.583417,E01011482,E02002385,E05001432,E08000035,6787.0,both,True
Slate NQ,Merrion Street,Leeds,,,LS2 8JE,http://www.slatenq.co.uk,LS2 8JE,LS2 8,LS2 8JE,LS2 8,430269.0,433890.0,53.800437,-1.541916,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Alchemist Greek Street,The Alchemist Greek Street,Yorkshire House,Greek Street,Leeds,LS1 5SH,http://thealchemist.uk.com/venues/greek-street-leeds/,LS1 5SH,LS1 5,LS1 5SH,LS1 5,429835.0,433674.0,53.798521,-1.548526,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The East Village,The East Village,47-49 Brudenell Grove,Leeds,,LS6 1HR,http://www.theeastvillage.bar,LS6 1HR,LS6 1,LS6 1HR,LS6 1,428561.0,435148.0,53.81184,-1.567731,E01011444,E02006861,E05001429,E08000035,9196.0,both,True
Sociable Folk,10 Wellington Place,Leeds,,,LS1 4AP,http://www.sociablefolk.co.uk,LS1 4AP,LS1 4,LS1 4AP,LS1 4,429309.0,433384.0,53.79596,-1.556543,E01033015,E02006875,E05001420,E08000035,15267.0,both,True
Revolución de Cuba,64-68 Call Lane,Leeds,,,LS1 6DT,http://www.revoluciondecuba.com/bar/leeds/,LS1 6DT,LS1 6,LS1 6DT,LS1 6,430315.0,433324.0,53.795348,-1.541273,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Tharavadu,7/8 Mill Hill,Leeds,,,LS1 5DQ,http://www.tharavadurestaurants.com,LS1 5DQ,LS1 5,LS1 5DQ,LS1 5,430037.0,433319.0,53.795319,-1.545494,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Smoke Barbecue Leeds,Merrion Centre,"Leeds, Unit 6",11 Merrion Way,Leeds,LS2 8BT,http://www.smokebbq.co.uk,LS2 8BT,LS2 8,LS2 8BT,LS2 8,430153.0,434103.0,53.802358,-1.543656,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
MR PITTA,Commercial Street,Leeds,,,LS1 6AL,http://www.mrpitta.co.uk,LS1 6AL,LS1 6,LS1 6AL,LS1 6,430167.0,433561.0,53.797486,-1.543497,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Iberica Leeds,Hepper House,17A East Parade,Leeds,,LS1 2BH,http://www.ibericarestaurants.com,LS1 2BH,LS1 2,LS1 2BH,LS1 2,429768.0,433744.0,53.79917,-1.549541,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
Cabana Brasilian Barbecue,Unit 4.02,430 Trinity Leeds,Albion Street,Leeds,LS1 5AT,http://www.cabana-brasil.com/,LS1 5AT,LS1 5,LS1 5AT,LS1 5,430139.0,433460.0,53.796596,-1.543936,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Candlebar,CANDLEBAR,Candle House,Granary Wharf,Leeds,LS1 4GJ,http://www.candlebarleeds.co.uk,LS1 4GJ,LS1 4,LS1 4GJ,LS1 4,429686.0,433093.0,53.793308,-1.550844,E01033015,E02006875,E05001420,E08000035,15267.0,both,True
Be At One Leeds,Be At One Cocktail Bar,Millennium Square,Great George Street,Leeds,LS2 3AD,http://www.beatone.co.uk,LS2 3AD,LS2 3,LS2 3AD,LS2 3,429858.0,433971.0,53.801189,-1.548148,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Bang Wok,Bang Wok,Arch 1,Sovereign Place,Leeds,LS1 4SP,http://www.bangwok.com,LS1 4SP,LS1 4,LS1 4SP,LS1 4,429986.0,433191.0,53.794171,-1.54628,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Pieminister,Pieminister,15-17 Duncan Street,Leeds,,LS1 6DQ,http://www.pieminister.co.uk/restaurants/leeds/,LS1 6DQ,LS1 6,LS1 6DQ,LS1 6,430292.0,433411.0,53.796131,-1.541614,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Engine Shed,The Engine Shed,York Road,Wetherby,,LS22 7SU,http://www.engineshedwetherby.co.uk,LS22 7SU,LS22 7,LS22 7SU,LS22 7,440751.0,448747.0,53.933266,-1.380817,E01011700,E02002331,E05001443,E08000035,23310.0,both,True
MEATliquor Leeds,1 Bank St. North,Trinity Centre,Behind Victoria’s Secret,Leeds,LS1 5AT,http://www.meatliquor.com/leeds,LS1 5AT,LS1 5,LS1 5AT,LS1 5,430139.0,433460.0,53.796596,-1.543936,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Bar Soba,9A Merrion Street,Leeds,,,LS1 6PQ,http://www.barsoba.co.uk/,LS1 6PQ,LS1 6,LS1 6PQ,LS1 6,430389.0,433897.0,53.800493,-1.540093,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Mill Kitchen,1 The Old Combing,Sunny Bank Mills,83-85 Town Street,"Farsley, Pudsey",LS28 5UJ,http://www.millkitchen.co.uk,LS28 5UJ,LS28 5,LS28 5UJ,LS28 5,421729.0,435359.0,53.814065,-1.67147,E01011592,E02002368,E05001418,E08000035,21180.0,both,True
Bilbao Bar,Arch U,Granary Wharf,Leeds,,LS1 4BR,http://www.bilbaobar.co.uk,LS1 4BR,LS1 4,LS1 4BR,LS1 4,429783.0,433129.0,53.793626,-1.549368,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
Watermill  Restaurant at Milford Hotel,Great North Road,Peckfield,,,LS25 5LQ,www.milfordhotel.co.uk,LS25 5LQ,LS25 5,LS25 5LQ,LS25 5,445710.0,431523.0,53.77804,-1.307845,E01027898,E02005812,E05010058,E07000169,28902.0,both,True
La Rambla –Tapas & Wine,La Rambla –Tapas & Wine,9 East Parade,Leeds,,LS1 2AJ,http://www.laramblatapas.co.uk,LS1 2AJ,LS1 2,LS1 2AJ,LS1 2,429765.0,433678.0,53.798561,-1.549588,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
Manahatta,11 Merrion Street,Leeds,,,LS1 6PG,http://www.arcinspirations.com,LS1 6PG,LS1 6,LS1 6PG,LS1 6,430374.0,433857.0,53.800135,-1.540325,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Black Swan,37 Call Lane,Leeds,,,LS1 7BT,http://www.blackswanleeds.co.uk/,LS1 7BT,LS1 7,LS1 7BT,LS1 7,430343.0,433319.0,53.795301,-1.540848,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Ho's,115 Vicar Lane,Leeds,,,LS1 6PJ,http://www.tripadvisor.co.uk/Restaurant_Review-g186411-d1877193-Reviews-Ho_s-Leeds_West_Yorkshire_England.html,LS1 6PJ,LS1 6,LS1 6PJ,LS1 6,430407.0,433829.0,53.799881,-1.539827,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Maxi's Leeds,6 Bingley Street,Leeds,,,LS3 1LX,http://www.maxi-s.co.uk/,LS3 1LX,LS3 1,LS3 1LX,LS3 1,428928.0,433734.0,53.799111,-1.56229,E01011678,E02002392,E05001420,E08000035,12833.0,both,True
Red Chilli Restaurant,6 Great George Street,Leeds,,,LS1 3DW,http://redchillirestaurant.co.uk/leeds/,LS1 3DW,LS1 3,LS1 3DW,LS1 3,429872.0,433942.0,53.800928,-1.547938,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Pintura,Pintura Basque Kitchen & Bar,Unit 2.36,1 Trinity Street,Leeds,LS1 5ER,http://www.pinturakitchen.co.uk/,LS1 5ER,LS1 5,LS1 5ER,LS1 5,429996.0,433430.0,53.796319,-1.546105,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Roland's,39 Call Lane,Leeds,,,LS1 7BT,https://twitter.com/RolandsLeeds,LS1 7BT,LS1 7,LS1 7BT,LS1 7,430343.0,433319.0,53.795301,-1.540848,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
The Riverside,1 Whitehall Riverside,Leeds,,,LS1 4BN,http://www.theriversideleeds.co.uk/,LS1 4BN,LS1 4,LS1 4BN,LS1 4,429495.0,433252.0,53.794748,-1.553728,E01033015,E02006875,E05001420,E08000035,15267.0,both,True
Marvin's Pizza Parlour,Arena Quarter,Merrion Way,Leeds,West Yorkshire,LS2 8BT,,LS2 8BT,LS2 8,LS2 8BT,LS2 8,430153.0,434103.0,53.802358,-1.543656,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Salty Cow,Commerical Street,Leeds,,,LS1 6EY,https://twitter.com/ThesaltyCow,LS1 6EY,LS1 6,LS1 6EY,LS1 6,430124.0,433533.0,53.797237,-1.544152,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Black Prince,40 Boar Lane,Leeds,,,LS1 5DA,,LS1 5DA,LS1 5,LS1 5DA,LS1 5,429994.0,433369.0,53.795771,-1.546141,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Brotherhood of Pursuits and Pastimes,56-58 New Briggate,Leeds,,,LS1 6NU,http://www.thisisthebrotherhood.com/,LS1 6NU,LS1 6,LS1 6NU,LS1 6,430352.0,433839.0,53.799974,-1.540661,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Bundobust,6 Mill Hill,Leeds,,,LS1 5DQ,http://bundobust.com/,LS1 5DQ,LS1 5,LS1 5DQ,LS1 5,430037.0,433319.0,53.795319,-1.545494,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Shears Yard,11-15 Wharf Street,The Calls,Leeds,,LS2 7EH,http://www.shearsyard.com,LS2 7EH,LS2 7,LS2 7EH,LS2 7,430426.0,433311.0,53.795224,-1.539589,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Blind Tyger,5 1/2 Cross Belgrave Street,Leeds,,,LS2 8JP,http://www.blindtyger.co.uk,LS2 8JP,LS2 8,LS2 8JP,LS2 8,430329.0,433943.0,53.80091,-1.541,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Just Grand! Vintage Tearoom,8-9 Grand Arcade,Vicar Lane,Leeds,,LS1 6PG,http://www.just-grand.co.uk,LS1 6PG,LS1 6,LS1 6PG,LS1 6,430374.0,433857.0,53.800135,-1.540325,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Atlas Pub,Atlas House,31 King Street,Leeds,,LS1 2HL,http://www.atlaspubleeds.com,LS1 2HL,LS1 2,LS1 2HL,LS1 2,429727.0,433564.0,53.797554,-1.55018,E01033008,E02006875,E05001420,E08000035,14601.0,both,True
The Man Behind The Curtain,68-78 Vicar Lane,Leeds,,,LS1 7JH,http://www.themanbehindthecurtain.co.uk/,LS1 7JH,LS1 7,LS1 7JH,LS1 7,430431.0,433660.0,53.798377,-1.539483,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Crowd of Favours,Harper Street,Leeds,,,LS2 7EA,http://www.crowdoffavours.co.uk/,LS2 7EA,LS2 7,LS2 7EA,LS2 7,430551.0,433419.0,53.796188,-1.537681,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
Roots and Fruits,10-11 Grand Arcade,Leeds,,,LS1 6PG,http://www.rootsandfruits.net,LS1 6PG,LS1 6,LS1 6PG,LS1 6,430374.0,433857.0,53.800135,-1.540325,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Grove Inn,Back Row,Leeds,,,LS11 5PL,,LS11 5PL,LS11 5,LS11 5PL,LS11 5,429879.0,432834.0,53.790969,-1.547939,E01033016,E02006875,E05001420,E08000035,15050.0,both,True
The Decanter,17 Park Row,Leeds,,,LS1 5JQ,http://www.thedecanter.co.uk,LS1 5JQ,LS1 5,LS1 5JQ,LS1 5,429952.0,433700.0,53.798748,-1.546747,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
The Original Oak,2 Otley Road,Headingley,Leeds,,LS6 2DG,http://www.theoriginaloakleeds.co.uk,LS6 2DG,LS6 2,LS6 2DG,LS6 2,428029.0,436022.0,53.819724,-1.575731,E01011440,E02002373,E05001427,E08000035,17456.0,both,True
The Mustard Pot,20 Stainbeck Lane,Chapel Allerton,Leeds,,LS7 3QY,http://www.themustardpot.com,LS7 3QY,LS7 3,LS7 3QY,LS7 3,430418.0,437077.0,53.829072,-1.53934,E01011352,E02002363,E05001419,E08000035,14332.0,both,True
Tortilla,Trinity Kitchen,Trinity Leeds,,,LS1 5AT,http://trinityleeds.com/shops/tortilla,LS1 5AT,LS1 5,LS1 5AT,LS1 5,430139.0,433460.0,53.796596,-1.543936,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Le Chalet,31-32 Park Row,Leeds,,,LS1 5JD,http://www.le-chalet.co.uk,LS1 5JD,LS1 5,LS1 5JD,LS1 5,429904.0,433646.0,53.798281,-1.547485,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
Aire Bar,32 The Calls,,Leeds,,LS2 7EW,http://www.airebar.co.uk/,LS2 7EW,LS2 7,LS2 7EW,LS2 7,430460.0,433270.0,53.794854,-1.539077,E01033011,E02006875,E05001420,E08000035,6996.0,both,True
All Bar One Greek Street,27 East Parade,Leeds,,,LS1 5BN,http://www.allbarone.co.uk/all-bar-one-greek-street-leeds/,LS1 5BN,LS1 5,LS1 5BN,LS1 5,429798.0,433674.0,53.798523,-1.549087,E01033010,E02006875,E05001420,E08000035,8358.0,both,True
