SR_Created_Date,Sr_Num,Enq_Type,Enq_Sub_Type,Postcode
13 July 2017,2-884850866,Tenancy Breach,Noise Nuisance,LS18 5
13 July 2017,2-884890173,Tenancy Breach,Noise Nuisance,LS12 5
18 July 2017,2-885302823,LASBT ALMO,Noise Nuisance,LS11 6
13 July 2017,2-884902143,LASBT ALMO,Noise Nuisance,LS6 1
17 July 2017,2-885282832,Tenancy Breach,Noise Nuisance,LS6 3
13 July 2017,2-884895689,Tenancy Breach,Noise Nuisance,LS13 2
17 July 2017,2-885277335,Tenancy Breach,Noise Nuisance,LS12 3
13 July 2017,2-884903369,LASBT ALMO,Noise Nuisance,LS12 1
17 July 2017,2-885231121,LASBT Private,Noise Nuisance,LS21 3
17 July 2017,2-885197092,LASBT Private,Noise Nuisance,LS11 8
14 July 2017,2-884967368,LASBT Private,Noise Nuisance,LS27 8
17 July 2017,2-885175920,LASBT Private,Noise Nuisance,LS26 8
17 July 2017,2-885172807,LASBT Private,Noise Nuisance,LS8 1
17 July 2017,2-885180036,Tenancy Breach,Noise Nuisance,LS12 2
17 July 2017,2-885155407,Tenancy Breach,Noise Nuisance,LS26 0
14 July 2017,2-885069824,Tenancy Breach,Noise Nuisance,LS14 1
01 August 2017,2-887125061,LASBT Private,Noise Nuisance,LS8 3
01 August 2017,2-887125462,LASBT Private,Noise Nuisance,LS7 2
01 August 2017,2-887145974,LASBT Private,Noise Nuisance,LS9 9
01 August 2017,2-887174902,LASBT Private,Noise Nuisance,LS17 5
01 August 2017,2-887204025,LASBT Private,Noise Nuisance,LS9 9
30 August 2017,2-890539182,LASBT Private,Noise Nuisance,LS17 5
30 August 2017,2-890539082,LASBT Private,Noise Nuisance,LS9 8
01 August 2017,2-887204692,LASBT Private,Noise Nuisance,LS8 2
30 August 2017,2-890500150,LASBT ALMO,Noise Nuisance,LS15 7
30 August 2017,2-890478250,LASBT Private,Noise Nuisance,LS9 9
30 August 2017,2-890462230,LASBT Private,Noise Nuisance,LS8 2
30 August 2017,2-890457356,LASBT Private,Noise Nuisance,LS8 5
02 August 2017,2-887318775,LASBT Private,Noise Nuisance,LS8 2
30 August 2017,2-890415768,LASBT Private,Noise Nuisance,LS7 3
02 August 2017,2-887341447,LASBT Private,Noise Nuisance,LS14 6
02 August 2017,2-887341408,LASBT Private,Noise Nuisance,LS7 1
02 August 2017,2-887380318,LASBT Private,Noise Nuisance,LS8 5
03 August 2017,2-887497223,LASBT Private,Noise Nuisance,LS8 3
03 August 2017,2-887506353,Tenancy Breach,Noise Nuisance,LS8 3
03 August 2017,2-887497902,LASBT Private,Noise Nuisance,LS9 9
29 August 2017,2-890259054,LASBT Private,Noise Nuisance,LS17 6
29 August 2017,2-890233487,LASBT Private,Noise Nuisance,LS7 3
29 August 2017,2-890217041,LASBT ALMO,Noise Nuisance,LS14 6
03 August 2017,2-887585256,Tenancy Breach,Noise Nuisance,LS8 5
04 August 2017,2-887598605,LASBT Private,Noise Nuisance,LS14 6
04 August 2017,2-887629221,LASBT Private,Noise Nuisance,LS8 5
25 August 2017,2-890172265,LASBT Private,Noise Nuisance,LS9 6
04 August 2017,2-887708114,LASBT Private,Noise Nuisance,LS8 3
25 August 2017,2-890105128,LASBT Private,Noise Nuisance,LS6 4
04 August 2017,2-887743731,LASBT Private,Noise Nuisance,LS6 4
07 August 2017,2-887811443,LASBT Private,Noise Nuisance,LS9 7
23 August 2017,2-889866668,LASBT Private,Noise Nuisance,LS7 4
23 August 2017,2-889855401,LASBT Private,Noise Nuisance,LS7 2
23 August 2017,2-889832649,LASBT Private,Noise Nuisance,LS17 9
07 August 2017,2-887922915,LASBT ALMO,Noise Nuisance,LS8 1
07 August 2017,2-887935530,LASBT Private,Noise Nuisance,LS14 6
23 August 2017,2-889839766,LASBT Private,Noise Nuisance,LS9 9
07 August 2017,2-887945691,LASBT Private,Noise Nuisance,LS14 6
07 August 2017,2-887945734,LASBT Private,Noise Nuisance,LS17 6
08 August 2017,2-887972578,LASBT Private,Noise Nuisance,LS8 3
08 August 2017,2-887976986,Tenancy Breach,Noise Nuisance,LS17 5
08 August 2017,2-888008156,LASBT Private,Noise Nuisance,LS8 1
08 August 2017,2-888036735,LASBT Private,Noise Nuisance,LS7 4
22 August 2017,2-889731032,LASBT Private,Noise Nuisance,LS8 5
22 August 2017,2-889711936,LASBT Private,Noise Nuisance,LS22 6
22 August 2017,2-889666872,LASBT Private,Noise Nuisance,LS17 8
22 August 2017,2-889666319,LASBT ALMO,Noise Nuisance,LS14 6
09 August 2017,2-888133996,LASBT Private,Noise Nuisance,LS23 6
22 August 2017,2-889639957,LASBT ALMO,Noise Nuisance,LS14 1
22 August 2017,2-889639436,LASBT ALMO,Noise Nuisance,LS7 2
22 August 2017,2-889624272,LASBT Private,Noise Nuisance,LS9 6
09 August 2017,2-888206259,LASBT ALMO,Noise Nuisance,LS14 5
22 August 2017,2-889604967,LASBT Private,Noise Nuisance,LS7 4
09 August 2017,2-888238165,LASBT Private,Noise Nuisance,LS14 1
21 August 2017,2-889585690,LASBT Private,Noise Nuisance,LS9 6
10 August 2017,2-888358344,LASBT ALMO,Noise Nuisance,LS7 2
21 August 2017,2-889532792,LASBT Private,Noise Nuisance,LS9 6
10 August 2017,2-888371291,LASBT Private,Noise Nuisance,LS8 3
11 August 2017,2-888430858,LASBT ALMO,Noise Nuisance,LS9 7
11 August 2017,2-888495237,LASBT Private,Noise Nuisance,LS22 7
21 August 2017,2-889455895,LASBT Private,Noise Nuisance,LS9 9
21 August 2017,2-889463263,LASBT Private,Noise Nuisance,LS9 6
18 August 2017,2-889290072,LASBT Private,Noise Nuisance,LS7 3
17 August 2017,2-889241031,LASBT Private,Noise Nuisance,LS8 2
17 August 2017,2-889200326,LASBT Private,Noise Nuisance,LS7 2
17 August 2017,2-889184594,LASBT Private,Noise Nuisance,LS17 5
17 August 2017,2-889162311,LASBT Private,Noise Nuisance,LS9 7
17 August 2017,2-889134556,LASBT ALMO,Noise Nuisance,LS9 9
17 August 2017,2-889118317,LASBT Private,Noise Nuisance,LS9 9
17 August 2017,2-889118263,LASBT Private,Noise Nuisance,LS17 6
17 August 2017,2-889118045,LASBT Private,Noise Nuisance,LS8 3
15 August 2017,2-888917571,LASBT Private,Noise Nuisance,LS7 4
31 August 2017,2-890662271,LASBT Private,Noise Nuisance,LS14 5
01 August 2017,2-887180680,Tenancy Breach,Noise Nuisance,BD11 1
30 August 2017,2-890491121,LASBT Private,Noise Nuisance,LS27 0
30 August 2017,2-890477699,LASBT ALMO,Noise Nuisance,WF3 1
30 August 2017,2-890462770,LASBT Private,Noise Nuisance,LS27 7
01 August 2017,2-887245208,LASBT Private,Noise Nuisance,LS11 7
30 August 2017,2-890460037,LASBT Private,Noise Nuisance,LS27 0
01 August 2017,2-887245644,LASBT Private,Noise Nuisance,LS27 9
01 August 2017,2-887259526,Tenancy Breach,Noise Nuisance,LS27 7
02 August 2017,2-887425025,LASBT Private,Noise Nuisance,LS11 6
30 August 2017,2-890410469,Tenancy Breach,Noise Nuisance,LS11 0
29 August 2017,2-890333727,LASBT Private,Noise Nuisance,LS27 9
03 August 2017,2-887455761,LASBT Private,Noise Nuisance,LS15 0
29 August 2017,2-890326502,LASBT Private,Noise Nuisance,LS15 0
29 August 2017,2-890299355,LASBT Private,Noise Nuisance,LS15 7
29 August 2017,2-890284483,LASBT Private,Noise Nuisance,LS10 1
29 August 2017,2-890284055,LASBT Private,Noise Nuisance,LS27 9
29 August 2017,2-890259847,LASBT Private,Noise Nuisance,LS27 9
29 August 2017,2-890240585,LASBT Private,Noise Nuisance,LS27 8
25 August 2017,2-890179793,Tenancy Breach,Noise Nuisance,LS27 9
25 August 2017,2-890144893,LASBT Private,Noise Nuisance,LS11 0
25 August 2017,2-890152038,LASBT Private,Noise Nuisance,WF3 2
04 August 2017,2-887751076,LASBT Private,Noise Nuisance,LS10 3
04 August 2017,2-887751783,Tenancy Breach,Noise Nuisance,LS27 7
07 August 2017,2-887818089,LASBT Private,Noise Nuisance,LS10 1
25 August 2017,2-890038874,LASBT Private,Noise Nuisance,LS11 7
24 August 2017,2-889967906,LASBT Private,Noise Nuisance,LS10 4
24 August 2017,2-889896969,LASBT Private,Noise Nuisance,LS25 4
07 August 2017,2-887900582,LASBT ALMO,Noise Nuisance,WF3 1
23 August 2017,2-889887663,Tenancy Breach,Noise Nuisance,LS26 9
07 August 2017,2-887903474,LASBT Private,Noise Nuisance,LS14 2
23 August 2017,2-889782158,LASBT Private,Noise Nuisance,WF3 3
23 August 2017,2-889766893,LASBT Private,Noise Nuisance,LS27 0
08 August 2017,2-888019972,LASBT Private,Noise Nuisance,LS26 8
22 August 2017,2-889712840,LASBT ALMO,Noise Nuisance,LS26 8
22 August 2017,2-889675776,LASBT Private,Noise Nuisance,LS26 8
08 August 2017,2-888128093,Tenancy Breach,Noise Nuisance,LS27 9
22 August 2017,2-889624860,LASBT Private,Noise Nuisance,WF3 2
22 August 2017,2-889624330,LASBT Private,Noise Nuisance,LS15 7
09 August 2017,2-888170983,LASBT Private,Noise Nuisance,WF3 3
09 August 2017,2-888248210,LASBT Private,Noise Nuisance,LS25 1
09 August 2017,2-888248559,LASBT Private,Noise Nuisance,LS27 9
09 August 2017,2-888248689,LASBT Private,Noise Nuisance,LS11 6
10 August 2017,2-888306755,LASBT Private,Noise Nuisance,LS25 7
21 August 2017,2-889545609,LASBT Private,Noise Nuisance,LS2 7
10 August 2017,2-888379275,LASBT ALMO,Noise Nuisance,WF3 1
10 August 2017,2-888386391,LASBT Private,Noise Nuisance,LS26 0
11 August 2017,2-888432740,LASBT Private,Noise Nuisance,LS10 3
21 August 2017,2-889517396,LASBT Private,Noise Nuisance,LS27 0
21 August 2017,2-889459151,LASBT Private,Noise Nuisance,LS1 4
21 August 2017,2-889449484,LASBT Private,Noise Nuisance,LS15 9
11 August 2017,2-888525991,Tenancy Breach,Noise Nuisance,LS27 7
21 August 2017,2-889428872,LASBT Private,Noise Nuisance,LS15 7
21 August 2017,2-889428493,LASBT Private,Noise Nuisance,LS25 1
18 August 2017,2-889391530,LASBT Private,Noise Nuisance,BD11 1
14 August 2017,2-888605648,LASBT Private,Noise Nuisance,LS27 0
18 August 2017,2-889326204,LASBT Private,Noise Nuisance,LS27 9
14 August 2017,2-888601749,LASBT Private,Noise Nuisance,LS11 8
14 August 2017,2-888666764,LASBT Private,Noise Nuisance,LS15 8
14 August 2017,2-888686005,LASBT Private,Noise Nuisance,LS11 9
14 August 2017,2-888666829,LASBT Private,Noise Nuisance,LS14 5
17 August 2017,2-889224597,LASBT Private,Noise Nuisance,LS11 8
14 August 2017,2-888686743,LASBT Private,Noise Nuisance,LS27 0
14 August 2017,2-888714295,LASBT Private,Noise Nuisance,LS26 8
14 August 2017,2-888734657,LASBT Private,Noise Nuisance,LS26 0
17 August 2017,2-889153412,LASBT Private,Noise Nuisance,LS10 2
17 August 2017,2-889135182,LASBT Private,Noise Nuisance,WF3 1
14 August 2017,2-888769271,LASBT Private,Noise Nuisance,LS11 6
17 August 2017,2-889150012,LASBT Private,Noise Nuisance,LS10 2
14 August 2017,2-888781142,Tenancy Breach,Noise Nuisance,LS10 4
15 August 2017,2-888778754,Tenancy Breach,Noise Nuisance,WF3 3
16 August 2017,2-889088485,LASBT Private,Noise Nuisance,LS11 8
16 August 2017,2-889035166,LASBT ALMO,Noise Nuisance,LS11 0
15 August 2017,2-888851721,LASBT ALMO,Noise Nuisance,LS10 3
16 August 2017,2-889035045,LASBT Private,Noise Nuisance,LS26 8
16 August 2017,2-889011905,LASBT Private,Noise Nuisance,LS11 6
16 August 2017,2-888985987,LASBT Private,Noise Nuisance,LS10 4
16 August 2017,2-888973181,LASBT Private,Noise Nuisance,LS27 7
01 August 2017,2-887094917,LASBT Private,Noise Nuisance,NU
01 August 2017,2-887132154,LASBT Private,Noise Nuisance,LS6 3
01 August 2017,2-887132806,LASBT Private,Noise Nuisance,LS4 2
01 August 2017,2-887139433,LASBT Private,Noise Nuisance,LS28 7
01 August 2017,2-887139570,LASBT ALMO,Noise Nuisance,LS6 2
01 August 2017,2-887139729,LASBT Private,Noise Nuisance,LS13 4
31 August 2017,2-890656642,LASBT Private,Noise Nuisance,LS2 9
31 August 2017,2-890601188,LASBT Private,Noise Nuisance,LS3 1
01 August 2017,2-887229238,LASBT Private,Noise Nuisance,LS20 8
30 August 2017,2-890459671,LASBT Private,Noise Nuisance,LS13 2
30 August 2017,2-890460485,LASBT Private,Noise Nuisance,LS6 3
02 August 2017,2-887289724,LASBT Private,Noise Nuisance,LS28 6
30 August 2017,2-890460257,LASBT Private,Noise Nuisance,LS13 2
30 August 2017,2-890460090,LASBT Private,Noise Nuisance,LS19 6
02 August 2017,2-887302885,LASBT Private,Noise Nuisance,LS6 3
30 August 2017,2-890448873,LASBT Private,Noise Nuisance,LS6 3
30 August 2017,2-890453211,LASBT Private,Noise Nuisance,LS12 4
30 August 2017,2-890453094,LASBT Private,Noise Nuisance,LS6 1
30 August 2017,2-890416779,LASBT Private,Noise Nuisance,LS6 1
30 August 2017,2-890405560,LASBT Private,Noise Nuisance,LS6 3
30 August 2017,2-890405531,LASBT Private,Noise Nuisance,LS6 1
29 August 2017,2-890398626,LASBT Private,Noise Nuisance,LS6 1
29 August 2017,2-890320111,Tenancy Breach,Noise Nuisance,LS6 3
03 August 2017,2-887511584,Tenancy Breach,Noise Nuisance,LS29 6
29 August 2017,2-890260977,LASBT Private,Noise Nuisance,LS4 2
03 August 2017,2-887544657,LASBT Private,Noise Nuisance,LS6 3
29 August 2017,2-890260075,LASBT Private,Noise Nuisance,LS12 2
26 August 2017,2-890209156,LASBT Private,Noise Nuisance,LS13 4
26 August 2017,2-890209097,LASBT Private,Noise Nuisance,LS6 3
04 August 2017,2-887572769,LASBT Private,Noise Nuisance,LS12 2
25 August 2017,2-890162303,LASBT Private,Noise Nuisance,LS6 1
25 August 2017,2-890144544,LASBT Private,Noise Nuisance,LS19 7
25 August 2017,2-890144356,LASBT ALMO,Noise Nuisance,LS13 2
25 August 2017,2-890132759,LASBT Private,Noise Nuisance,LS6 1
04 August 2017,2-887696282,LASBT Private,Noise Nuisance,LS13 1
25 August 2017,2-890132063,LASBT Private,Noise Nuisance,LS13 1
25 August 2017,2-890112122,LASBT Private,Noise Nuisance,LS6 3
25 August 2017,2-890105529,LASBT ALMO,Noise Nuisance,LS2 9
25 August 2017,2-890105437,LASBT Private,Noise Nuisance,LS3 1
25 August 2017,2-890090280,LASBT Private,Noise Nuisance,LS29 6
25 August 2017,2-890074697,LASBT Private,Noise Nuisance,LS12 6
25 August 2017,2-890039771,LASBT ALMO,Noise Nuisance,LS18 4
25 August 2017,2-890057729,LASBT Private,Noise Nuisance,LS6 1
07 August 2017,2-887821560,LASBT Private,Noise Nuisance,LS6 4
07 August 2017,2-887821742,LASBT Private,Noise Nuisance,LS28 6
07 August 2017,2-887855454,LASBT Private,Noise Nuisance,LS6 1
24 August 2017,2-889975406,LASBT Private,Noise Nuisance,LS16 9
24 August 2017,2-889970347,LASBT Private,Noise Nuisance,LS20 8
23 August 2017,2-889837759,LASBT ALMO,Noise Nuisance,LS13 2
07 August 2017,2-887949137,Tenancy Breach,Noise Nuisance,LS18 4
08 August 2017,2-887985384,LASBT Private,Noise Nuisance,LS6 3
08 August 2017,2-887988338,LASBT Private,Noise Nuisance,LS4 2
08 August 2017,2-887995238,LASBT Private,Noise Nuisance,LS6 1
08 August 2017,2-888013772,LASBT Private,Noise Nuisance,LS13 2
08 August 2017,2-888108535,LASBT Private,Noise Nuisance,LS16 7
22 August 2017,2-889657388,Tenancy Breach,Noise Nuisance,LS16 7
22 August 2017,2-889657264,LASBT Private,Noise Nuisance,LS12 5
09 August 2017,2-888156741,LASBT Private,Noise Nuisance,LS12 2
22 August 2017,2-889636735,LASBT Private,Noise Nuisance,LS12 4
09 August 2017,2-888179486,LASBT Private,Noise Nuisance,LS4 2
09 August 2017,2-888165558,LASBT Private,Noise Nuisance,LS6 3
22 August 2017,2-889636355,LASBT Private,Noise Nuisance,LS6 3
22 August 2017,2-889636118,LASBT Private,Noise Nuisance,LS16 5
22 August 2017,2-889636060,LASBT Private,Noise Nuisance,LS4 2
09 August 2017,2-888238255,LASBT Private,Noise Nuisance,LS16 6
22 August 2017,2-889618992,LASBT Private,Noise Nuisance,LS3 1
22 August 2017,2-889618944,LASBT Private,Noise Nuisance,LS3 1
09 August 2017,2-888262390,LASBT Private,Noise Nuisance,LS6 3
09 August 2017,2-888262808,LASBT Private,Noise Nuisance,NU
22 August 2017,2-889605988,LASBT Private,Noise Nuisance,LS21 1
22 August 2017,2-889605931,LASBT Private,Noise Nuisance,LS12 3
22 August 2017,2-889605904,LASBT Private,Noise Nuisance,LS6 3
22 August 2017,2-889605757,LASBT Private,Noise Nuisance,LS5 3
22 August 2017,2-889605720,LASBT Private,Noise Nuisance,LS6 2
22 August 2017,2-889605515,LASBT Private,Noise Nuisance,LS6 1
22 August 2017,2-889605488,LASBT Private,Noise Nuisance,LS6 3
22 August 2017,2-889605379,LASBT ALMO,Noise Nuisance,LS13 4
22 August 2017,2-889605328,Tenancy Breach,Noise Nuisance,LS7 1
21 August 2017,2-889530950,LASBT Private,Noise Nuisance,LS4 2
21 August 2017,2-889536402,LASBT Private,Noise Nuisance,LS6 1
10 August 2017,2-888359919,Tenancy Breach,Noise Nuisance,LS6 2
18 August 2017,2-889401137,LASBT ALMO,Noise Nuisance,LS12 2
18 August 2017,2-889315058,LASBT Private,Noise Nuisance,LS6 1
17 August 2017,2-889206220,LASBT Private,Noise Nuisance,LS16 5
14 August 2017,2-888721889,LASBT Private,Noise Nuisance,LS19 7
14 August 2017,2-888761533,Tenancy Breach,Noise Nuisance,LS13 1
17 August 2017,2-889110793,LASBT Private,Noise Nuisance,LS12 2
15 August 2017,2-888836758,LASBT Private,Noise Nuisance,LS28 5
15 August 2017,2-888903839,LASBT Private,Noise Nuisance,LS12 5
01 August 2017,2-887093169,Tenancy Breach,Noise Nuisance,LS18 5
31 August 2017,2-890683598,Tenancy Breach,Noise Nuisance,LS14 1
31 August 2017,2-890689297,LASBT ALMO,Noise Nuisance,LS15 0
01 August 2017,2-887132532,LASBT ALMO,Noise Nuisance,LS12 5
01 August 2017,2-887132892,LASBT ALMO,Noise Nuisance,LS20 9
01 August 2017,2-887134197,Tenancy Breach,Noise Nuisance,LS14 6
31 August 2017,2-890679969,LASBT Private,Noise Nuisance,LS9 6
01 August 2017,2-887139272,LASBT ALMO,Noise Nuisance,LS6 2
01 August 2017,2-887151932,LASBT ALMO,Noise Nuisance,LS7 4
31 August 2017,2-890643456,LASBT ALMO,Noise Nuisance,LS8 2
31 August 2017,2-890632742,Tenancy Breach,Noise Nuisance,LS13 2
31 August 2017,2-890607383,Tenancy Breach,Noise Nuisance,LS12 3
31 August 2017,2-890596660,LASBT ALMO,Noise Nuisance,LS16 5
30 August 2017,2-890500903,LASBT ALMO,Noise Nuisance,LS14 1
30 August 2017,2-890500091,LASBT ALMO,Noise Nuisance,LS7 2
01 August 2017,2-887222713,Tenancy Breach,Noise Nuisance,LS27 9
02 August 2017,2-887274981,Tenancy Breach,Noise Nuisance,LS27 7
02 August 2017,2-887302045,Tenancy Breach,Noise Nuisance,LS9 7
02 August 2017,2-887294624,Tenancy Breach,Noise Nuisance,LS22 6
30 August 2017,2-890462146,Tenancy Breach,Noise Nuisance,LS23 6
30 August 2017,2-890415836,LASBT ALMO,Noise Nuisance,LS14 6
02 August 2017,2-887318954,Tenancy Breach,Noise Nuisance,LS15 0
02 August 2017,2-887330547,Tenancy Breach,Noise Nuisance,LS19 7
02 August 2017,2-887326735,Tenancy Breach,Noise Nuisance,LS28 8
02 August 2017,2-887364073,Tenancy Breach,Noise Nuisance,LS11 9
02 August 2017,2-887387615,Tenancy Breach,Noise Nuisance,N
02 August 2017,2-887400105,Tenancy Breach,Noise Nuisance,LS8 3
02 August 2017,2-887389875,LASBT ALMO,Noise Nuisance,LS7 2
02 August 2017,2-887403540,Tenancy Breach,Noise Nuisance,LS12 1
02 August 2017,2-887423311,Tenancy Breach,Noise Nuisance,LS8 3
30 August 2017,2-890448036,Tenancy Breach,Noise Nuisance,LS19 7
30 August 2017,2-890410848,Tenancy Breach,Noise Nuisance,LS7 4
30 August 2017,2-890415168,LASBT ALMO,Noise Nuisance,LS9 6
03 August 2017,2-887427918,Tenancy Breach,Noise Nuisance,LS9 0
03 August 2017,2-887416429,Tenancy Breach,Noise Nuisance,LS9 0
30 August 2017,2-890403955,Tenancy Breach,Noise Nuisance,LS9 7
30 August 2017,2-890426765,Tenancy Breach,Noise Nuisance,LS13 1
29 August 2017,2-890359089,LASBT Private,Noise Nuisance,LS13 3
03 August 2017,2-887490004,LASBT ALMO,Noise Nuisance,LS11 8
29 August 2017,2-890286890,Tenancy Breach,Noise Nuisance,LS9 6
03 August 2017,2-887453852,LASBT ALMO,Noise Nuisance,LS9 7
03 August 2017,2-887483488,Tenancy Breach,Noise Nuisance,LS12 4
03 August 2017,2-887489099,Tenancy Breach,Noise Nuisance,LS9 7
29 August 2017,2-890327204,LASBT ALMO,Noise Nuisance,LS21 2
03 August 2017,2-887497343,LASBT ALMO,Noise Nuisance,LS8 1
03 August 2017,2-887490775,LASBT ALMO,Noise Nuisance,LS19 7
03 August 2017,2-887473119,Tenancy Breach,Noise Nuisance,LS9 0
29 August 2017,2-890284448,Tenancy Breach,Noise Nuisance,LS10 4
29 August 2017,2-890211290,Tenancy Breach,Noise Nuisance,LS10 2
29 August 2017,2-890236409,LASBT ALMO,Noise Nuisance,LS20 9
29 August 2017,2-890287014,Tenancy Breach,Noise Nuisance,LS10 2
29 August 2017,2-890255144,Tenancy Breach,Noise Nuisance,LS27 8
29 August 2017,2-890251414,Tenancy Breach,Noise Nuisance,LS10 3
29 August 2017,2-890240348,Tenancy Breach,Noise Nuisance,LS9 0
29 August 2017,2-890233233,LASBT ALMO,Noise Nuisance,LS11 6
25 August 2017,2-890161888,Tenancy Breach,Noise Nuisance,LS9 0
04 August 2017,2-887598674,LASBT Private,Noise Nuisance,LS15 7
25 August 2017,2-890176034,Tenancy Breach,Noise Nuisance,LS14 1
25 August 2017,2-890137787,LASBT ALMO,Noise Nuisance,LS8 3
25 August 2017,2-890090524,LASBT ALMO,Noise Nuisance,LS14 1
04 August 2017,2-887724893,Tenancy Breach,Noise Nuisance,LS16 9
25 August 2017,2-890085509,LASBT Private,Noise Nuisance,LS13 3
04 August 2017,2-887750832,Tenancy Breach,Noise Nuisance,LS18 4
25 August 2017,2-890079206,LASBT ALMO,Noise Nuisance,LS10 4
25 August 2017,2-890067288,Tenancy Breach,Noise Nuisance,LS18 4
25 August 2017,2-890046812,LASBT Private,Noise Nuisance,LS6 3
24 August 2017,2-890030508,Tenancy Breach,Noise Nuisance,LS8 3
24 August 2017,2-889896479,Tenancy Breach,Noise Nuisance,LS9 6
07 August 2017,2-887825649,Tenancy Breach,Noise Nuisance,WF3 1
24 August 2017,2-890003396,LASBT Private,Noise Nuisance,LS17 9
24 August 2017,2-890011121,Tenancy Breach,Noise Nuisance,LS9 7
07 August 2017,2-887850483,Tenancy Breach,Noise Nuisance,LS14 6
07 August 2017,2-887857740,Tenancy Breach,Noise Nuisance,LS5 3
24 August 2017,2-889970691,LASBT Private,Noise Nuisance,LS13 3
24 August 2017,2-889964391,LASBT Private,Noise Nuisance,LS7 4
24 August 2017,2-889964374,Tenancy Breach,Noise Nuisance,LS7 4
24 August 2017,2-889937707,Tenancy Breach,Noise Nuisance,LS12 3
23 August 2017,2-889854653,Tenancy Breach,Noise Nuisance,LS27 7
07 August 2017,2-887922691,LASBT ALMO,Noise Nuisance,LS8 1
23 August 2017,2-889826872,Tenancy Breach,Noise Nuisance,WF10 2
07 August 2017,2-887942384,Tenancy Breach,Noise Nuisance,LS13 4
23 August 2017,2-889838521,Tenancy Breach,Noise Nuisance,LS13 2
08 August 2017,2-887957715,Tenancy Breach,Noise Nuisance,LS12 3
08 August 2017,2-887973677,Tenancy Breach,Noise Nuisance,LS23 6
23 August 2017,2-889810499,Tenancy Breach,Noise Nuisance,LS10 3
23 August 2017,2-889771755,LASBT ALMO,Noise Nuisance,LS14 6
08 August 2017,2-887952549,LASBT ALMO,Noise Nuisance,LS11 9
22 August 2017,2-889764138,LASBT ALMO,Noise Nuisance,LS9 0
22 August 2017,2-889742568,Tenancy Breach,Noise Nuisance,LS27 9
08 August 2017,2-887962768,Tenancy Breach,Noise Nuisance,LS7 4
22 August 2017,2-889732144,Tenancy Breach,Noise Nuisance,LS11 5
22 August 2017,2-889690080,LASBT ALMO,Noise Nuisance,LS16 5
08 August 2017,2-888086023,LASBT Private,Noise Nuisance,LS18 5
22 August 2017,2-889670255,Tenancy Breach,Noise Nuisance,LS7 1
08 August 2017,2-888093743,LASBT ALMO,Noise Nuisance,LS11 6
08 August 2017,2-888093803,LASBT ALMO,Noise Nuisance,LS14 5
22 August 2017,2-889639585,LASBT Private,Noise Nuisance,LS9 0
22 August 2017,2-889650125,Tenancy Breach,Noise Nuisance,WF10 2
22 August 2017,2-889613050,LASBT ALMO,Noise Nuisance,BD11 1
22 August 2017,2-889636194,Tenancy Breach,Noise Nuisance,LS12 5
09 August 2017,2-888190654,LASBT Private,Noise Nuisance,N
09 August 2017,2-888209880,LASBT ALMO,Noise Nuisance,LS12 5
22 August 2017,2-889618859,Tenancy Breach,Noise Nuisance,LS12 2
22 August 2017,2-889618769,Tenancy Breach,Noise Nuisance,LS21 2
09 August 2017,2-888255679,Tenancy Breach,Noise Nuisance,LS8 1
09 August 2017,2-888267845,Tenancy Breach,Noise Nuisance,LS12 2
09 August 2017,2-888293314,Tenancy Breach,Noise Nuisance,LS9 0
22 August 2017,2-889605632,Tenancy Breach,Noise Nuisance,LS13 3
10 August 2017,2-888324002,Tenancy Breach,Noise Nuisance,LS13 1
10 August 2017,2-888324849,Tenancy Breach,Noise Nuisance,LS14 6
10 August 2017,2-888362775,Tenancy Breach,Noise Nuisance,LS13 2
21 August 2017,2-889533795,LASBT Private,Noise Nuisance,LS14 1
11 August 2017,2-888477057,LASBT ALMO,Noise Nuisance,LS14 6
11 August 2017,2-888479266,Tenancy Breach,Noise Nuisance,LS13 2
11 August 2017,2-888466531,LASBT Private,Noise Nuisance,LS14 6
21 August 2017,2-889519906,LASBT Private,Noise Nuisance,LS13 3
21 August 2017,2-889515641,Tenancy Breach,Noise Nuisance,LS14 1
11 August 2017,2-888506515,Tenancy Breach,Noise Nuisance,LS1 4
21 August 2017,2-889476880,LASBT ALMO,Noise Nuisance,LS13 2
21 August 2017,2-889441996,LASBT ALMO,Noise Nuisance,WF3 3
21 August 2017,2-889447109,Tenancy Breach,Noise Nuisance,LS14 1
11 August 2017,2-888538831,Tenancy Breach,Noise Nuisance,LS7 1
11 August 2017,2-888557535,LASBT Private,Noise Nuisance,LS16 6
18 August 2017,2-889361917,Tenancy Breach,Noise Nuisance,LS13 3
18 August 2017,2-889362487,Tenancy Breach,Noise Nuisance,LS13 2
18 August 2017,2-889269559,LASBT Private,Noise Nuisance,LS28 6
14 August 2017,2-888631069,Tenancy Breach,Noise Nuisance,LS13 2
14 August 2017,2-888644045,Tenancy Breach,Noise Nuisance,LS13 2
14 August 2017,2-888633560,Tenancy Breach,Noise Nuisance,LS6 2
14 August 2017,2-888628680,LASBT ALMO,Noise Nuisance,LS14 1
18 August 2017,2-889339014,Tenancy Breach,Noise Nuisance,LS21 1
18 August 2017,2-889326589,LASBT ALMO,Noise Nuisance,LS7 2
18 August 2017,2-889303777,Tenancy Breach,Noise Nuisance,LS12 2
14 August 2017,2-888645786,LASBT ALMO,Noise Nuisance,LS6 4
