SR_Created_Date,Sr_Num,Enq_Type,Enq_Sub_Type,Postcode
26 July 2017,2-886475305,LASBT Private,Noise Nuisance,LS15 9
26 July 2017,2-886375844,LASBT Private,Noise Nuisance,LS2 7
06 July 2017,2-883914476,LASBT Private,Noise Nuisance,LS25 7
26 July 2017,2-886364499,LASBT Private,Noise Nuisance,LS11 8
26 July 2017,2-886393050,LASBT Private,Noise Nuisance,LS2 7
26 July 2017,2-886361833,LASBT Private,Noise Nuisance,BD11 1
25 July 2017,2-886291281,LASBT Private,Noise Nuisance,LS15 7
06 July 2017,2-883978170,LASBT Private,Noise Nuisance,LS10 4
25 July 2017,2-886252942,LASBT Private,Noise Nuisance,LS10 1
25 July 2017,2-886252712,LASBT Private,Noise Nuisance,LS11 7
25 July 2017,2-886239603,LASBT Private,Noise Nuisance,LS1 3
24 July 2017,2-886101615,LASBT Private,Noise Nuisance,LS26 0
24 July 2017,2-886086497,LASBT Private,Noise Nuisance,N
07 July 2017,2-884084004,LASBT Private,Noise Nuisance,LS11 5
24 July 2017,2-886101218,LASBT Private,Noise Nuisance,LS15 8
10 July 2017,2-884218963,LASBT Private,Noise Nuisance,WF3 1
10 July 2017,2-884219150,LASBT Private,Noise Nuisance,BD11 1
10 July 2017,2-884219384,LASBT Private,Noise Nuisance,LS27 9
24 July 2017,2-886032691,Tenancy Breach,Noise Nuisance,LS27 7
24 July 2017,2-886016972,LASBT Private,Noise Nuisance,LS9 0
10 July 2017,2-884229765,LASBT Private,Noise Nuisance,LS14 5
10 July 2017,2-884238821,LASBT Private,Noise Nuisance,LS11 8
24 July 2017,2-886016821,LASBT Private,Noise Nuisance,LS25 7
10 July 2017,2-884268894,LASBT Private,Noise Nuisance,LS11 0
10 July 2017,2-884272872,LASBT ALMO,Noise Nuisance,LS26 8
10 July 2017,2-884349780,LASBT Private,Noise Nuisance,LS14 5
10 July 2017,2-884374124,LASBT Private,Noise Nuisance,LS14 5
20 July 2017,2-885770840,LASBT Private,Noise Nuisance,LS26 9
11 July 2017,2-884435163,LASBT ALMO,Noise Nuisance,LS10 3
11 July 2017,2-884454257,LASBT Private,Noise Nuisance,LS26 0
11 July 2017,2-884454495,LASBT ALMO,Noise Nuisance,LS26 8
11 July 2017,2-884483162,LASBT Private,Noise Nuisance,LS25 2
11 July 2017,2-884483511,LASBT Private,Noise Nuisance,LS25 2
20 July 2017,2-885720484,Tenancy Breach,Noise Nuisance,LS26 8
11 July 2017,2-884522619,LASBT Private,Noise Nuisance,LS15 7
20 July 2017,2-885682926,LASBT Private,Noise Nuisance,WF10 2
12 July 2017,2-884576827,LASBT Private,Noise Nuisance,LS10 4
12 July 2017,2-884627657,LASBT Private,Noise Nuisance,LS10 2
19 July 2017,2-885570453,LASBT Private,Noise Nuisance,LS11 0
12 July 2017,2-884627899,LASBT ALMO,Noise Nuisance,LS11 6
12 July 2017,2-884643195,LASBT Private,Noise Nuisance,LS11 0
19 July 2017,2-885553293,LASBT Private,Noise Nuisance,LS10 1
12 July 2017,2-884699977,LASBT Private,Noise Nuisance,LS27 0
12 July 2017,2-884739956,LASBT Private,Noise Nuisance,LS26 0
19 July 2017,2-885521511,LASBT Private,Noise Nuisance,LS11 7
13 July 2017,2-884813925,LASBT Private,Noise Nuisance,LS10 4
18 July 2017,2-885490631,LASBT Private,Noise Nuisance,LS10 2
18 July 2017,2-885418872,LASBT Private,Noise Nuisance,LS10 1
18 July 2017,2-885418120,LASBT Private,Noise Nuisance,WF10 2
18 July 2017,2-885341511,LASBT Private,Noise Nuisance,LS27 0
17 July 2017,2-885236721,LASBT Private,Noise Nuisance,LS15 8
17 July 2017,2-885198895,LASBT Private,Noise Nuisance,LS27 0
17 July 2017,2-885197232,LASBT Private,Noise Nuisance,LS10 4
14 July 2017,2-885016240,LASBT ALMO,Noise Nuisance,LS11 8
17 July 2017,2-885161488,LASBT Private,Noise Nuisance,LS11 5
14 July 2017,2-885031483,LASBT Private,Noise Nuisance,LS7 1
14 July 2017,2-885028905,LASBT Private,Noise Nuisance,LS26 8
17 July 2017,2-885146189,LASBT Private,Noise Nuisance,LS10 4
03 July 2017,2-883322418,LASBT Private,Noise Nuisance,LS6 3
03 July 2017,2-883322463,LASBT Private,Noise Nuisance,LS6 1
03 July 2017,2-883344483,LASBT Private,Noise Nuisance,LS18 5
03 July 2017,2-883365404,LASBT Private,Noise Nuisance,LS13 3
03 July 2017,2-883353774,LASBT Private,Noise Nuisance,LS6 1
31 July 2017,2-887033622,LASBT Private,Noise Nuisance,LS18 5
31 July 2017,2-887033395,LASBT Private,Noise Nuisance,LS6 4
03 July 2017,2-883402829,LASBT Private,Noise Nuisance,LS6 2
31 July 2017,2-887007927,LASBT Private,Noise Nuisance,LS4 2
03 July 2017,2-883477888,LASBT Private,Noise Nuisance,LS13 3
31 July 2017,2-887007395,LASBT Private,Noise Nuisance,LS4 2
03 July 2017,2-883497060,LASBT Private,Noise Nuisance,LS4 2
03 July 2017,2-883497163,LASBT Private,Noise Nuisance,LS12 2
03 July 2017,2-883497286,LASBT Private,Noise Nuisance,LS12 1
03 July 2017,2-883497409,LASBT Private,Noise Nuisance,LS6 2
03 July 2017,2-883497482,LASBT Private,Noise Nuisance,LS12 1
31 July 2017,2-887007227,LASBT Private,Noise Nuisance,LS21 3
31 July 2017,2-886989629,LASBT Private,Noise Nuisance,LS12 3
04 July 2017,2-883538907,LASBT Private,Noise Nuisance,LS6 1
31 July 2017,2-886974763,LASBT Private,Noise Nuisance,LS2 9
31 July 2017,2-886930791,LASBT Private,Noise Nuisance,LS20 9
28 July 2017,2-886729198,LASBT Private,Noise Nuisance,LS4 2
28 July 2017,2-886718377,LASBT Private,Noise Nuisance,LS13 1
28 July 2017,2-886697619,LASBT Private,Noise Nuisance,LS12 4
