Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Loch Fyne,The Old Post Office,City Square,Leeds,,LS1 2ES,
Azucar Bar,5 Brewery Place,Leeds,,,LS10 1NE,http://www.azucarbar.co.uk
Ambiente Leeds,36 - 38 The Calls,Leeds,,,LS2 7EW,http://www.ambiente-popup.co.uk
Mumtaz Restaurant,1  Mackenzie House,Chadwick Street,Leeds,,LS10 1QD,
The Gatehouse at Kirkstall Abbey,Abbey Walk,Kirkstall,Leeds,,LS5 3EH,
The Packhorse Pub,208 Woodhouse Lane,Leeds,,,LS2 9DX,http://www.myspace.com/packhorsegigguide
The New Penny,51 Call Lane,Leeds,,,LS1 7BT,
Viaduct,11 Lower Briggate,Leeds,,,LS1 6EP,www.viaductleeds.co.uk
The Foundry Wine Bar,1 Saw Mill Yard,Holbeck,Leeds,,LS11 5WH,www.thefoundrywinebar.co.uk
Malmaison Leeds,1 Swinegate,Leeds,,,LS1 4AG,http://www.malmaison.com/locations/leeds/
Fuji Hiro,45 Wade Lane,Leeds,,,LS2 8NJ,
Kendell's Bistro,St. Peters Square,Leeds,,,LS9 8AH,http://www.kendellsbistro.co.uk
Queens Court,167-168 Lower Briggate,Leeds,,,LS1 6NA,http://www.queenscourtleeds.com/
Midnight Bell,101 Water Lane,Leeds,,,LS11 5QN,www.midnightbell.co.uk
The Reliance,76-78 North Street,Leeds,,,LS2 7PN,http://www.the-reliance.co.uk
Stylus,"Leeds University Union,",Lifton Place,Woodhouse Lane,,LS2 9JT,
Leeds University Union,"Leeds University Union,",Lifton Place,Woodhouse Lane,Leeds,LS2 9JT,http://www.leedsuniversityunion.org.uk/
Leeds Beckett Union,Calverley Street,Leeds,,,LS1 3HE,
Norman Bar,36 Call Lane,Leeds,,,LS1 6DT,http://www.normanbar.co.uk
Oracle Bar,3 Brewery Place,Leeds,,,LS10 1NE,www.oraclebar.com
Fibre,167 - 168 Lower Briggate,Leeds,,,LS1 6LY,www.barfibre.com
Oulton Hall and Spa,Rothwell Lane,Oulton,Leeds,,LS26 8HN,http://www.qhotels.co.uk/our-locations/oulton-hall/
The Claret Jug at Oulton Hall and Spa,Rothwell Lane,Oulton,Leeds,,LS26 8HN,http://www.qhotels.co.uk/our-locations/oulton-hall
Calverley Grill at Oulton Hall Hotel,Rothwell Lane,Oulton,Leeds,,LS26 8HN,http://www.qhotels.co.uk/our-locations/oulton-hall/
Milo,10-12 Call Lane,Leeds,,,LS1 6DN,
Mook,Hirst's Yard,City Centre,Leeds,,LS1 6NJ,
The Adelphi,1-5 Hunslet Road,Leeds,,,LS10 1JQ,
The Reform Bar,12-14 Merrion St,Leeds,,,LS1,www.reformbar.co.uk
Revolution Electric Press,41 Cookridge Street,Leeds,,,LS2 3AW,http://www.revolution-bars.co.uk
Revolution Call Lane,48 Call Lane,Leeds,,,LS1 6DT,www.revolution-bars.co.uk
Granary Wharf,Granary Wharf,Leeds,,,LS1 2SP,www.granarywharf.co.uk
Golf Cafe Bar,Blue Granary Wharfe,1 Little Neville Street,Leeds,,LS1 4ED,http://www.golfbarleeds.co.uk/
Tiger Tiger,The Light,117 Albion Street,Leeds,,LS2 8DY,
Oporto,31-33 Call Lane,Leeds,,,LS1 7BT,www.oportobar.co.uk
Verve,16 Merrion Street,Leeds,,,LS1 6PQ,www.verveleeds.co.uk
