Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
The Manor House,Walkergate,Otley,,,LS21 1HB,
The Black Bull,Market Place,Otley,,,LS21 3AQ,http://www.otleypubclub.co.uk/otley-pubs-present/the-black-bull
Otley Tap House,66 Boroughgate,Otley,,,LS21 1AE,
The Roebuck,Roebuck Terrace,Newall with Clifton,Otley,,LS21 2EY,http://www.roebuckpub.co.uk
The Royalty,Yorkgate,Otley Chevin,,,LS21 3DG,http://www.the-royalty.co.uk
The Red Lion,47 Kirkgate,Otley,,,LS21 3HN,http://www.otleypubclub.co.uk/otley-pubs-present/the-red-lion
the Bay Horse,20 Market Place,Otley,,,LS21 3AQ,http://www.otleypubclub.co.uk/otley-pubs-present/the-bay-horse-inn
Whitakers,49 Kirkgate,Otley,,,LS21 3HN,http://www.facebook.com/WhitakersOtley
The White Swan,68 Boroughgate,Otley,,,LS21 1AE,
North Bar Social,8-10 Bondgate,Otley,,,LS21 3AB,http://www.northbar.com/northbarsocial
The Black Horse Hotel,2 Westgate,Otley,,,LS21 3AS,http://www.blackhorsehotelotley.co.uk
The Horse and Farrier,Bridge Street,Otley,West Yorkshire,,LS21 1BQ,http://www.markettowntaverns.co.uk/pub-and-bar-finder/yorkshire/horse-and-farrier
The Yew Tree Public House,Newall Carr Rd,Otley,,,LS21 2AU,http://www.yewtreeotley.co.uk
